fouls_home,fouls_away,corners_home,corners_away,crosses_home,crosses_away,touches_home,touches_away,tackles_home,tackles_away,interceptions_home,interceptions_away,aerials_won_home,aerials_won_away,clearances_home,clearances_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,long_balls_home,long_balls_away,home_team,away_team,home_score,away_score,stadium,state,UF,matchweek,date,time,match_id
11,14,9,2,24,10,605,597,12,27,14,12,15,21,8,29,4,3,8,11,17,20,48,68,Ceará,Flamengo,0,3,,,,16,2019-08-25,19:00,155
17,14,6,4,23,13,602,672,13,11,8,6,16,13,14,26,3,1,7,11,12,12,36,63,CSA,Cruzeiro,1,1,,,,16,2019-08-25,19:00,156
19,15,4,2,17,14,568,589,15,11,11,10,11,23,17,22,2,2,5,13,19,26,57,41,Avaí,Corinthians,1,1,,,,16,2019-08-25,19:00,157
13,16,5,4,20,20,653,480,11,18,10,14,23,20,26,21,0,2,7,17,26,18,48,63,Botafogo (RJ),Chapecoense,0,0,,,,16,2019-08-26,20:00,158
10,9,5,5,18,9,673,605,21,18,11,11,20,13,7,17,0,0,4,17,18,16,33,62,São Paulo,Grêmio,0,0,,,,17,2019-08-31,11:00,159
15,17,8,2,27,5,722,454,12,15,5,8,20,22,6,30,0,3,5,9,28,13,41,68,Bahia,CSA,1,0,,,,17,2019-08-31,17:00,160
14,15,10,4,39,14,743,441,5,14,8,17,30,20,11,32,0,2,10,12,33,26,74,62,Atl Paranaense,Ceará,1,0,,,,17,2019-08-31,19:00,161
17,19,5,5,34,12,603,585,19,23,5,10,17,16,16,23,1,3,9,7,22,26,53,56,Chapecoense,Santos,0,1,,,,17,2019-08-31,19:00,162
10,6,8,1,24,12,671,683,20,16,15,14,19,22,9,20,0,1,8,9,18,15,54,41,Internacional,Botafogo (RJ),3,2,,,,17,2019-08-31,21:00,163
21,14,5,3,16,13,535,530,16,12,17,11,12,7,7,10,0,4,8,7,15,26,54,57,Fortaleza,Goiás,2,0,,,,17,2019-09-01,16:00,164
15,17,1,1,9,5,798,470,13,24,11,10,11,11,4,16,0,2,7,7,15,7,50,47,Flamengo,Palmeiras,3,0,,,,17,2019-09-01,16:00,165
14,15,3,11,12,30,665,523,13,15,8,6,13,9,19,16,2,1,6,8,11,19,31,54,Cruzeiro,Vasco da Gama,1,0,,,,17,2019-09-01,19:00,166
9,14,10,4,33,15,658,761,10,15,11,12,10,5,17,27,0,1,7,10,15,7,36,59,Corinthians,Atlético Mineiro,1,0,,,,17,2019-09-01,19:00,167
14,15,12,2,33,11,722,546,17,15,8,13,18,11,10,34,0,0,6,10,19,29,35,44,Fluminense,Avaí,0,1,,,,17,2019-09-02,20:00,168
9,10,5,8,18,18,687,498,17,12,5,7,16,18,20,24,2,2,8,9,26,22,71,49,Corinthians,Ceará,2,2,,,,18,2019-09-07,11:00,169
15,19,4,3,24,9,651,509,11,15,6,5,17,25,12,15,2,1,3,19,26,17,54,73,Vasco da Gama,Bahia,0,2,,,,18,2019-09-07,11:00,170
15,9,4,8,11,13,548,720,15,20,18,15,5,6,11,9,1,1,11,5,15,23,45,45,Avaí,Flamengo,0,3,,,,18,2019-09-07,17:00,171
13,15,5,5,19,17,578,639,15,10,7,4,13,11,23,24,2,4,8,5,18,19,41,41,Fortaleza,Fluminense,0,1,,,,18,2019-09-07,17:00,172
14,16,9,2,22,12,683,648,22,24,14,9,22,27,20,19,3,1,5,5,23,23,53,52,Internacional,São Paulo,1,0,,,,18,2019-09-07,19:00,173
11,21,3,7,11,30,462,699,11,11,22,12,13,14,30,9,1,2,9,4,10,27,51,57,Goiás,Palmeiras,1,2,,,,18,2019-09-07,21:00,174
11,10,7,2,18,13,714,686,11,12,6,6,7,5,12,17,0,0,3,7,8,10,26,28,Cruzeiro,Grêmio,1,4,,,,18,2019-09-08,11:00,175
14,14,2,8,10,18,565,618,6,8,13,8,11,14,20,9,2,4,10,6,11,14,49,43,Botafogo (RJ),Atlético Mineiro,2,1,,,,18,2019-09-08,16:00,176
8,15,11,3,32,7,636,505,21,14,13,10,22,28,11,41,1,1,5,12,29,25,81,51,Santos,Atl Paranaense,1,1,,,,18,2019-09-08,16:00,177
22,14,3,7,14,22,504,530,21,16,16,14,22,23,21,14,3,0,10,6,18,25,64,48,CSA,Chapecoense,2,0,,,,18,2019-09-08,19:00,178
12,11,3,7,14,17,584,642,22,17,14,14,16,13,15,10,0,2,10,5,22,11,47,20,Palmeiras,Fluminense,3,0,,,,16,2019-09-10,21:00,179
19,24,3,1,10,10,568,566,24,17,5,21,16,15,11,17,1,3,8,10,23,26,56,49,Flamengo,Santos,1,0,,,,19,2019-09-14,17:00,180
14,22,7,5,36,18,648,555,13,17,13,11,31,21,27,31,0,1,7,6,35,23,47,57,Chapecoense,Vasco da Gama,1,2,,,,19,2019-09-14,19:00,181
20,19,4,4,23,12,644,510,10,8,15,13,23,14,12,19,1,0,9,6,30,24,47,48,Palmeiras,Cruzeiro,1,0,,,,19,2019-09-14,19:00,182
11,5,18,0,34,9,512,739,8,8,11,12,14,16,6,38,5,0,3,10,25,13,34,74,Ceará,Botafogo (RJ),0,0,,,,19,2019-09-14,21:00,183
6,14,10,0,33,7,878,644,14,19,6,8,21,9,13,40,0,1,8,8,29,21,37,56,Atlético Mineiro,Internacional,1,3,,,,19,2019-09-15,11:00,184
,,,,,,0,1,,,,,,,,,,,,,,,,,Atl Paranaense,Avaí,0,1,,,,19,2019-09-15,11:00,185
16,11,5,7,15,14,534,490,11,16,11,8,21,15,15,10,5,0,10,10,15,22,40,58,Bahia,Fortaleza,1,1,,,,19,2019-09-15,16:00,186
10,10,15,4,31,20,840,573,23,18,11,16,10,13,17,22,1,0,9,5,16,19,44,32,Grêmio,Goiás,3,0,,,,19,2019-09-15,16:00,187
19,12,3,6,7,23,604,632,23,17,4,12,20,18,21,7,2,1,9,10,12,19,43,37,Fluminense,Corinthians,1,0,,,,19,2019-09-15,16:00,188
14,16,11,3,24,8,726,373,12,14,9,8,23,19,9,28,3,1,6,18,30,16,43,74,São Paulo,CSA,1,1,,,,19,2019-09-15,19:00,189
15,22,1,11,19,19,637,582,21,16,11,6,22,21,21,17,2,2,10,10,15,28,64,41,Botafogo (RJ),São Paulo,1,2,,,,20,2019-09-21,11:00,190
9,14,1,4,7,13,512,654,11,19,6,10,17,9,14,11,3,0,9,6,23,20,43,45,Cruzeiro,Flamengo,1,2,,,,20,2019-09-21,17:00,191
12,15,4,3,23,10,564,572,14,15,6,6,16,10,14,23,2,1,9,7,24,12,50,56,Corinthians,Bahia,2,1,,,,20,2019-09-21,19:00,192
13,15,9,2,25,11,666,562,14,22,10,11,20,26,11,33,0,0,5,13,14,18,45,58,Santos,Grêmio,0,3,,,,20,2019-09-21,21:00,193
12,19,8,3,28,7,719,467,19,13,11,12,22,16,10,24,3,0,4,14,15,15,45,55,Internacional,Chapecoense,1,0,,,,20,2019-09-22,11:00,194
16,11,5,5,22,21,523,639,9,20,10,11,21,13,23,22,1,4,7,12,15,18,46,64,Fortaleza,Palmeiras,0,1,,,,20,2019-09-22,16:00,195
20,9,6,11,17,15,522,605,26,16,10,8,19,22,25,16,4,1,8,8,25,17,64,42,CSA,Ceará,1,0,,,,20,2019-09-22,16:00,196
,,,,,,1,2,,,,,,,,,,,,,,,,,Vasco da Gama,Atl Paranaense,1,1,,,,20,2019-09-22,16:00,197
16,10,4,8,11,24,402,738,14,14,16,4,15,13,24,10,1,1,9,4,16,23,58,37,Goiás,Fluminense,3,0,,,,20,2019-09-22,19:00,198
11,14,4,10,15,30,563,786,14,22,19,14,28,17,46,11,2,1,11,6,25,31,54,48,Avaí,Atlético Mineiro,1,0,,,,20,2019-09-23,20:00,199
18,17,8,3,19,22,589,648,9,12,6,12,20,22,18,13,1,2,9,11,17,11,52,70,Ceará,Cruzeiro,0,0,,,,21,2019-09-25,19:30,200
17,9,5,1,24,6,650,528,8,9,5,7,21,18,15,29,0,1,5,15,16,18,37,62,Bahia,Botafogo (RJ),2,0,,,,21,2019-09-25,21:30,201
21,24,10,0,38,4,767,416,13,26,2,12,25,27,8,43,4,0,2,10,30,19,27,69,São Paulo,Goiás,0,1,,,,21,2019-09-25,21:30,202
16,6,6,1,21,4,758,399,23,17,4,9,16,12,2,27,1,3,0,12,21,17,50,48,Flamengo,Internacional,3,1,,,,21,2019-09-25,21:30,203
13,13,5,2,11,17,815,436,10,11,6,8,13,11,14,11,0,0,8,7,8,21,38,44,Palmeiras,CSA,6,2,,,,21,2019-09-26,19:15,204
18,9,6,2,10,15,750,698,20,16,12,9,7,12,12,11,0,0,7,4,14,9,40,38,Grêmio,Avaí,6,1,,,,21,2019-09-26,20:00,205
12,15,1,5,16,14,630,667,17,21,18,13,16,15,17,19,2,1,12,7,20,25,55,51,Fluminense,Santos,1,1,,,,21,2019-09-26,20:00,206
11,8,11,7,25,16,784,500,7,23,9,14,15,10,8,22,0,1,8,13,19,15,48,61,Atl Paranaense,Fortaleza,4,1,,,,21,2019-09-26,21:30,207
20,27,9,2,27,8,744,562,19,22,19,18,21,14,8,30,2,3,8,9,29,20,45,45,Flamengo,São Paulo,0,0,,,,22,2019-09-28,19:00,208
16,23,5,2,19,14,628,558,10,14,7,6,17,16,21,26,2,4,13,3,20,18,51,46,Corinthians,Vasco da Gama,1,0,,,,22,2019-09-29,11:00,209
13,12,10,4,20,21,742,513,14,14,13,9,23,16,13,19,1,2,6,10,12,19,44,45,Santos,CSA,2,0,,,,22,2019-09-29,16:00,210
16,9,2,6,13,16,663,722,19,18,13,8,14,20,14,16,0,1,10,8,12,19,37,37,Fluminense,Grêmio,2,1,,,,22,2019-09-29,16:00,211
28,17,3,3,25,16,624,570,9,19,10,3,14,17,8,15,0,1,5,11,13,13,55,51,Internacional,Palmeiras,1,1,,,,22,2019-09-29,16:00,212
,,,,,,1,2,,,,,,,,,,,,,,,,,Atl Paranaense,Chapecoense,1,1,,,,22,2019-09-29,19:00,213
13,12,5,8,35,22,726,502,14,15,11,7,16,15,12,32,0,1,10,14,22,14,68,55,Atlético Mineiro,Ceará,2,1,,,,22,2019-09-29,19:00,214
16,16,7,5,28,7,704,576,17,19,23,8,12,15,9,27,4,1,5,15,35,22,48,73,Avaí,Bahia,0,2,,,,22,2019-09-30,20:00,215
20,19,0,9,14,27,444,694,22,10,11,7,21,23,28,13,0,2,13,11,25,20,60,56,Goiás,Cruzeiro,1,0,,,,22,2019-09-30,20:00,216
15,12,5,1,28,16,587,647,7,17,6,8,17,23,24,23,1,1,5,13,20,14,56,52,Fortaleza,Botafogo (RJ),1,0,,,,22,2019-09-30,20:00,217
19,15,9,7,33,19,590,543,19,12,6,12,25,23,15,28,1,2,8,13,26,32,68,55,Chapecoense,Corinthians,0,1,,,,21,2019-10-02,19:15,218
18,22,5,7,17,23,605,549,22,20,6,8,24,19,25,21,1,2,6,10,11,22,38,59,Atlético Mineiro,Vasco da Gama,1,2,,,,21,2019-10-02,19:15,219
15,14,9,3,30,15,655,464,15,11,7,4,12,13,18,23,0,0,6,11,18,18,25,43,São Paulo,Fortaleza,2,1,,,,23,2019-10-05,17:00,220
15,17,8,2,29,12,472,591,14,6,14,5,18,24,10,25,1,1,8,14,29,20,52,59,Vasco da Gama,Santos,0,1,,,,23,2019-10-05,17:00,221
9,14,4,4,25,23,591,671,12,22,6,8,17,19,12,21,1,1,8,6,22,17,59,62,Bahia,Atl Paranaense,1,2,,,,23,2019-10-05,19:00,222
12,12,10,5,26,15,777,528,12,12,9,14,14,22,11,21,3,0,7,11,15,13,51,57,Grêmio,Corinthians,0,0,,,,23,2019-10-05,19:00,223
18,14,3,3,33,12,655,634,13,19,11,13,15,13,11,30,0,1,10,7,18,14,53,53,Cruzeiro,Internacional,1,1,,,,23,2019-10-05,21:00,224
16,20,1,8,8,25,508,744,17,23,21,13,15,24,30,6,3,2,15,3,17,34,68,40,Chapecoense,Flamengo,0,1,,,,23,2019-10-06,11:00,225
12,20,17,2,45,12,723,442,16,14,8,4,28,14,12,41,2,1,8,11,22,13,32,55,Palmeiras,Atlético Mineiro,1,1,,,,23,2019-10-06,16:00,226
20,20,5,2,17,11,549,648,15,8,4,11,22,19,8,18,3,3,12,9,14,9,54,38,Botafogo (RJ),Fluminense,0,1,,,,23,2019-10-06,16:00,227
7,12,15,9,41,19,623,514,12,16,10,5,26,18,19,39,2,1,4,11,20,19,35,70,Ceará,Goiás,0,1,,,,23,2019-10-06,16:00,228
10,11,4,8,15,29,447,789,19,17,16,4,9,11,19,12,1,1,14,8,27,22,59,49,CSA,Avaí,3,1,,,,23,2019-10-06,19:00,229
29,18,5,5,19,34,535,632,15,11,8,7,20,14,24,14,2,1,12,7,15,19,52,50,Botafogo (RJ),Goiás,3,1,,,,24,2019-10-09,19:15,230
16,9,3,11,16,31,441,784,22,8,14,7,23,13,41,7,0,4,7,9,14,25,55,51,CSA,Internacional,1,0,,,,24,2019-10-09,19:15,231
18,17,2,6,15,18,635,589,20,11,9,18,17,21,20,18,4,1,4,2,16,9,37,50,Fortaleza,Chapecoense,2,0,,,,24,2019-10-09,20:30,232
10,15,3,5,17,17,528,705,11,5,10,6,15,15,17,13,3,2,3,6,18,11,52,55,Bahia,São Paulo,0,0,,,,24,2019-10-09,21:00,233
11,19,4,4,17,12,801,434,8,15,13,15,10,9,12,12,1,1,3,9,19,20,50,40,Grêmio,Ceará,2,1,,,,24,2019-10-09,21:00,234
17,18,2,5,23,12,653,686,23,11,20,21,24,12,10,39,2,0,10,6,20,14,42,52,Cruzeiro,Fluminense,0,0,,,,24,2019-10-09,21:30,235
16,13,2,3,10,18,652,533,22,12,13,4,10,10,23,9,3,0,5,9,11,27,40,30,Santos,Palmeiras,2,0,,,,24,2019-10-09,21:30,236
,,,,,,4,3,,,,,,,,,,,,,,,,,Corinthians,Atl Paranaense,2,2,,,,24,2019-10-10,19:15,237
18,11,7,6,24,12,720,615,18,20,29,11,12,22,18,12,0,1,12,11,19,21,48,66,Avaí,Vasco da Gama,0,0,,,,24,2019-10-10,19:15,238
10,9,9,2,26,12,826,489,11,18,11,13,16,15,12,30,0,1,5,11,23,20,54,63,Flamengo,Atlético Mineiro,3,1,,,,24,2019-10-10,20:00,239
17,21,4,2,22,16,529,553,11,12,4,14,19,18,9,17,2,1,4,13,19,17,49,65,Goiás,CSA,1,0,,,,25,2019-10-12,17:00,240
11,15,4,7,16,17,638,633,18,25,18,6,24,11,15,13,1,0,15,10,17,14,53,51,Fluminense,Bahia,2,0,,,,25,2019-10-12,19:00,241
22,13,7,2,16,15,580,611,16,14,15,14,17,10,10,19,2,0,12,12,12,20,51,46,Palmeiras,Botafogo (RJ),1,0,,,,25,2019-10-12,21:00,242
16,16,11,0,38,6,641,565,14,17,11,22,19,17,6,28,2,3,9,13,22,20,47,66,Ceará,Avaí,1,0,,,,25,2019-10-13,16:00,243
,,,,,,0,3,,,,,,,,,,,,,,,,,Atl Paranaense,Flamengo,0,2,,,,25,2019-10-13,16:00,244
14,19,10,3,26,13,573,461,12,12,6,4,16,24,11,29,1,1,4,11,19,15,56,55,Vasco da Gama,Fortaleza,1,0,,,,25,2019-10-13,16:00,245
16,18,9,3,19,9,606,667,16,17,7,12,14,14,13,23,7,2,8,8,23,10,57,53,Internacional,Santos,0,0,,,,25,2019-10-13,16:00,246
9,10,2,1,13,9,731,615,30,14,5,5,15,9,9,8,2,1,3,16,16,24,43,51,São Paulo,Corinthians,1,0,,,,25,2019-10-13,18:00,247
17,8,4,4,16,14,586,728,21,15,8,14,12,10,14,13,0,2,9,12,31,22,41,70,Atlético Mineiro,Grêmio,1,4,,,,25,2019-10-13,19:00,248
12,13,9,7,30,17,688,522,20,19,7,10,21,24,15,32,0,0,7,11,29,19,56,52,Chapecoense,Cruzeiro,1,1,,,,25,2019-10-13,19:00,249
18,13,1,7,14,23,536,659,14,14,11,6,14,20,29,6,2,0,11,4,10,16,48,41,CSA,Atlético Mineiro,2,2,,,,26,2019-10-16,19:15,250
13,15,10,6,34,8,751,538,9,24,15,11,12,14,7,45,1,0,4,8,15,6,42,36,Grêmio,Bahia,0,1,,,,26,2019-10-16,19:15,251
8,16,4,12,11,29,364,607,7,4,5,12,15,18,41,6,2,2,6,5,20,22,48,42,Fortaleza,Flamengo,1,2,,,,26,2019-10-16,20:00,252
15,14,12,4,40,11,745,373,11,8,6,5,21,20,8,33,5,0,7,19,20,18,42,77,Palmeiras,Chapecoense,1,0,,,,26,2019-10-16,21:00,253
18,16,4,2,22,13,566,754,24,23,12,6,12,11,11,26,3,1,4,7,23,23,53,51,Cruzeiro,São Paulo,1,0,,,,26,2019-10-16,21:00,254
15,12,3,7,15,18,451,660,12,13,11,6,21,31,33,20,1,1,9,4,25,25,46,59,Vasco da Gama,Botafogo (RJ),2,1,,,,26,2019-10-16,21:30,255
10,16,5,5,27,16,501,586,14,7,10,8,22,27,26,26,2,0,8,10,23,17,56,53,Goiás,Corinthians,2,2,,,,26,2019-10-16,21:30,256
7,16,6,8,20,23,463,854,4,13,17,14,13,11,26,16,0,2,13,4,24,17,47,61,Avaí,Internacional,0,2,,,,26,2019-10-17,19:15,257
15,11,5,7,28,21,693,448,21,17,6,17,21,16,19,31,3,2,4,11,28,21,43,46,Santos,Ceará,2,1,,,,26,2019-10-17,19:15,258
18,13,3,4,23,13,633,615,19,14,6,11,14,11,12,13,3,2,8,7,10,21,51,41,Fluminense,Atl Paranaense,1,2,,,,26,2019-10-17,21:00,259
13,17,1,8,15,27,488,677,12,6,4,11,15,12,20,14,0,0,8,4,16,24,56,37,Fortaleza,Grêmio,2,1,,,,27,2019-10-19,17:00,260
15,18,4,4,21,15,661,553,12,17,10,10,14,15,15,15,0,0,6,9,20,22,46,64,Corinthians,Cruzeiro,1,2,,,,27,2019-10-19,19:00,261
23,11,13,0,34,0,845,398,8,21,6,18,25,15,3,46,2,1,6,17,18,8,33,60,São Paulo,Avaí,1,0,,,,27,2019-10-20,17:00,262
14,12,12,3,42,11,818,463,23,12,7,7,18,18,12,37,2,0,4,16,20,10,52,49,Internacional,Vasco da Gama,0,1,,,,27,2019-10-20,17:00,263
24,14,3,7,9,19,397,697,23,13,9,10,19,18,23,14,1,1,10,7,18,27,59,45,Atlético Mineiro,Santos,2,0,,,,27,2019-10-20,17:00,264
23,13,10,7,14,19,551,606,18,16,8,5,16,11,14,15,0,1,6,10,20,19,49,41,Flamengo,Fluminense,2,0,,,,27,2019-10-20,19:00,265
23,14,6,9,25,27,512,508,15,14,9,4,22,9,30,12,1,2,10,7,20,20,49,40,Chapecoense,Goiás,2,2,,,,27,2019-10-20,19:00,266
23,11,2,1,25,10,615,619,18,18,7,12,24,26,9,27,0,4,6,12,22,13,52,60,Atl Paranaense,Palmeiras,1,1,,,,27,2019-10-20,19:00,267
14,11,6,17,20,31,584,598,22,16,9,15,29,16,27,11,4,1,5,6,11,28,52,53,Bahia,Ceará,1,2,,,,27,2019-10-21,19:30,268
18,16,4,3,21,20,552,660,15,5,10,5,26,17,29,11,2,2,4,10,10,14,48,51,Botafogo (RJ),CSA,2,1,,,,27,2019-10-21,20:00,269
11,14,11,3,28,9,743,529,17,13,11,15,28,18,9,43,3,0,7,13,24,21,37,57,Ceará,Vasco da Gama,1,1,,,,28,2019-10-26,17:00,270
20,12,4,3,17,17,470,684,11,20,14,7,14,19,19,14,0,5,16,6,25,17,53,57,Corinthians,Santos,0,0,,,,28,2019-10-26,18:00,271
16,11,6,4,28,8,670,586,13,14,12,17,21,21,9,29,1,2,7,7,22,23,40,58,Bahia,Internacional,2,3,,,,28,2019-10-26,19:00,272
11,14,5,5,25,18,781,472,15,30,9,13,20,18,10,31,0,0,6,15,23,12,25,62,Fluminense,Chapecoense,1,1,,,,28,2019-10-26,19:30,273
13,9,7,2,50,12,750,455,19,15,11,8,25,15,6,45,0,0,4,11,23,7,56,55,Cruzeiro,Fortaleza,1,1,,,,28,2019-10-26,22:00,274
13,9,5,7,11,27,653,605,17,8,11,10,17,11,25,14,1,0,7,11,15,16,40,35,Grêmio,Botafogo (RJ),3,0,,,,28,2019-10-27,17:00,275
18,9,19,3,37,10,692,432,13,15,11,13,13,16,9,27,1,0,7,9,28,17,57,66,Atl Paranaense,Goiás,4,1,,,,28,2019-10-27,17:00,276
9,11,6,6,16,14,718,520,19,14,10,11,14,12,16,15,3,4,6,10,21,24,48,50,São Paulo,Atlético Mineiro,2,0,,,,28,2019-10-27,17:00,277
18,17,6,5,22,16,440,661,14,10,10,8,11,25,19,23,0,2,11,4,20,20,47,67,Avaí,Palmeiras,1,2,,,,28,2019-10-27,19:00,278
20,13,6,2,19,9,760,513,12,14,10,14,8,15,6,14,1,5,2,14,10,17,36,60,Flamengo,CSA,1,0,,,,28,2019-10-27,20:00,279
20,10,3,4,29,10,607,613,7,13,8,4,13,16,9,26,0,0,8,12,28,14,48,66,Avaí,Fortaleza,1,3,,,,29,2019-10-30,20:30,280
12,14,6,3,7,20,479,763,15,22,13,3,20,18,22,10,1,0,10,9,22,16,55,30,Palmeiras,São Paulo,3,0,,,,29,2019-10-30,20:30,281
15,10,18,2,41,5,678,406,18,15,11,10,23,18,6,38,2,0,5,17,30,18,38,59,Atlético Mineiro,Chapecoense,0,2,,,,29,2019-10-30,20:30,282
9,13,10,4,27,13,547,669,12,15,8,11,12,18,12,24,0,0,5,10,18,23,45,52,Vasco da Gama,Grêmio,1,3,,,,29,2019-10-30,21:30,283
12,8,4,10,10,29,485,865,12,21,15,6,17,15,34,9,1,2,15,4,12,12,52,31,Ceará,Fluminense,2,0,,,,29,2019-10-30,21:30,284
17,10,5,3,18,18,530,638,17,9,5,6,20,10,21,12,1,2,9,8,15,27,64,56,CSA,Corinthians,2,1,,,,29,2019-10-30,21:30,285
17,26,4,0,17,4,635,429,18,18,11,5,25,9,5,11,3,1,3,17,21,16,53,54,Santos,Bahia,1,0,,,,29,2019-10-31,20:15,286
18,15,3,9,16,16,433,588,24,12,16,6,11,23,16,17,4,0,12,11,25,30,54,49,Goiás,Flamengo,2,2,,,,29,2019-10-31,20:00,287
14,22,3,5,15,17,681,588,22,16,12,9,16,21,12,17,1,0,8,10,27,17,64,75,Internacional,Atl Paranaense,1,1,,,,29,2019-10-31,21:30,288
15,15,12,4,34,11,579,498,13,14,14,5,30,33,9,32,1,1,8,20,16,16,49,74,Botafogo (RJ),Cruzeiro,0,2,,,,29,2019-10-31,21:30,289
18,19,7,7,15,24,593,454,14,8,12,5,14,18,20,15,1,2,7,7,13,19,60,46,Fortaleza,Atlético Mineiro,2,2,,,,30,2019-11-02,17:00,290
14,19,7,5,17,13,672,563,15,16,10,5,17,14,12,13,2,2,7,6,23,16,42,38,Palmeiras,Ceará,1,0,,,,30,2019-11-02,20:00,291
7,12,8,3,31,12,789,493,16,10,5,14,20,21,13,32,2,1,7,11,17,17,40,45,Fluminense,Vasco da Gama,0,0,,,,30,2019-11-02,20:00,292
19,11,6,2,28,11,483,709,12,20,8,9,9,15,8,19,0,2,7,11,18,14,25,36,Chapecoense,São Paulo,0,3,,,,30,2019-11-02,21:00,293
12,10,8,2,23,9,821,467,17,14,4,6,27,18,9,25,1,2,1,14,18,22,53,67,Flamengo,Corinthians,4,1,,,,30,2019-11-03,17:00,294
,,,,,,2,0,,,,,,,,,,,,,,,,,Atl Paranaense,CSA,1,0,,,,30,2019-11-03,19:00,295
16,16,5,3,12,11,687,506,11,10,18,11,16,15,17,21,1,0,4,6,19,10,46,45,Grêmio,Internacional,2,0,,,,30,2019-11-03,19:00,296
16,11,3,5,24,22,670,429,10,12,7,7,13,24,19,17,4,3,10,10,15,16,54,42,Cruzeiro,Bahia,1,1,,,,30,2019-11-03,20:00,297
16,8,9,8,19,16,638,432,6,14,7,7,26,19,14,18,1,0,8,11,19,11,49,54,Santos,Botafogo (RJ),4,1,,,,30,2019-11-03,20:00,298
19,19,4,3,30,15,537,584,8,12,12,14,25,16,7,23,0,0,10,14,20,25,61,54,Goiás,Avaí,2,0,,,,30,2019-11-03,20:30,299
18,9,2,6,18,22,726,558,19,17,4,7,11,15,16,13,1,1,6,8,20,12,60,58,Corinthians,Fortaleza,3,2,,,,31,2019-11-06,20:30,300
15,16,10,8,23,26,605,553,15,13,8,12,15,15,28,24,4,1,4,13,24,24,39,63,Atlético Mineiro,Goiás,2,0,,,,31,2019-11-06,20:00,301
19,11,8,6,26,12,543,603,20,12,14,14,15,23,11,23,0,2,8,6,17,22,60,65,Avaí,Santos,1,2,,,,31,2019-11-06,21:00,302
20,16,6,4,42,15,700,463,24,13,4,11,26,18,9,47,3,1,5,10,25,20,35,76,Bahia,Chapecoense,1,1,,,,31,2019-11-06,21:30,303
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,31,2019-11-06,21:30,304
17,27,3,6,14,15,487,565,16,12,13,1,23,23,11,17,1,1,9,4,20,27,39,60,Vasco da Gama,Palmeiras,1,2,,,,31,2019-11-06,21:30,305
8,11,6,4,10,26,605,788,13,22,8,16,9,16,34,13,3,1,12,4,14,19,52,34,Ceará,Internacional,2,0,,,,31,2019-11-07,19:30,306
6,16,2,2,25,12,803,667,25,13,4,16,10,17,3,24,0,1,2,13,18,14,29,59,São Paulo,Fluminense,0,2,,,,31,2019-11-07,20:30,307
16,14,1,10,5,21,361,690,25,10,8,4,17,12,18,11,0,0,15,3,21,25,70,31,Botafogo (RJ),Flamengo,0,1,,,,31,2019-11-07,20:00,308
15,16,11,3,20,9,805,515,10,16,4,19,7,10,8,24,0,1,4,12,11,7,36,42,Grêmio,CSA,2,1,,,,31,2019-11-07,21:00,309
19,16,5,4,13,13,531,628,15,19,9,9,15,8,16,14,2,3,3,9,22,23,35,70,Goiás,Santos,0,3,,,,32,2019-11-09,18:00,310
12,18,9,2,33,12,540,581,15,16,10,12,19,18,13,31,3,0,3,18,29,16,42,44,Palmeiras,Corinthians,1,1,,,,32,2019-11-09,20:00,311
16,9,4,3,9,16,594,786,20,13,19,17,16,6,22,5,1,0,7,4,14,18,58,54,Internacional,Fluminense,2,1,,,,32,2019-11-10,17:00,312
,,,,,,0,2,,,,,,,,,,,,,,,,,São Paulo,Atl Paranaense,0,1,,,,32,2019-11-10,17:00,313
9,12,4,8,23,14,609,488,19,9,3,3,27,24,20,23,1,0,11,12,21,24,68,54,Cruzeiro,Atlético Mineiro,0,0,,,,32,2019-11-10,17:00,314
10,11,11,2,34,3,726,458,17,16,10,12,17,16,7,32,3,0,7,10,25,16,45,61,Flamengo,Bahia,3,1,,,,32,2019-11-10,19:00,315
13,17,3,8,12,21,454,652,10,12,7,8,13,18,36,13,0,0,17,6,15,24,60,46,Fortaleza,Ceará,1,0,,,,32,2019-11-10,19:00,316
17,18,5,3,19,9,623,485,9,9,11,9,19,14,5,28,4,0,6,13,16,10,29,53,CSA,Vasco da Gama,0,3,,,,32,2019-11-10,19:00,317
10,13,5,2,26,12,608,630,16,14,13,4,8,13,10,23,0,0,8,10,23,19,38,54,Chapecoense,Grêmio,0,1,,,,32,2019-11-10,20:00,318
19,16,4,4,13,17,474,684,17,13,12,4,22,21,18,8,1,1,10,10,19,19,43,35,Botafogo (RJ),Avaí,2,0,,,,32,2019-11-11,20:00,319
23,25,5,4,20,12,696,434,15,18,4,9,20,16,17,30,0,1,5,7,11,17,30,61,Flamengo,Vasco da Gama,4,4,,,,34,2019-11-13,21:30,320
14,25,3,4,14,14,526,653,19,17,11,13,14,13,21,19,0,4,5,14,20,20,55,47,Santos,São Paulo,1,1,,,,33,2019-11-16,17:00,321
15,15,1,2,14,20,702,621,15,12,15,15,21,15,24,21,0,3,4,5,24,21,58,44,Fluminense,Atlético Mineiro,1,1,,,,33,2019-11-16,19:00,322
