fouls_home,fouls_away,corners_home,corners_away,crosses_home,crosses_away,touches_home,touches_away,tackles_home,tackles_away,interceptions_home,interceptions_away,aerials_won_home,aerials_won_away,clearances_home,clearances_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,long_balls_home,long_balls_away,home_team,away_team,home_score,away_score,stadium,state,UF,matchweek,date,time,match_id
,,,,,,0,4,,,,,,,,,,,,,,,,,Atlético Mineiro,Palmeiras,0,2,,,,4,2019-05-12,16:00,36
13,14,8,6,17,22,731,504,9,18,14,9,12,27,26,35,3,2,6,6,19,15,69,35,Atl Paranaense,Bahia,1,0,,,,4,2019-05-12,19:00,37
14,18,6,0,35,9,759,561,3,25,14,12,20,17,7,30,4,0,7,9,23,15,60,66,Avaí,CSA,0,0,,,,4,2019-05-12,19:00,38
12,14,6,4,20,11,648,606,16,11,6,7,9,14,15,22,2,0,5,8,20,18,50,37,Fortaleza,São Paulo,0,1,,,,4,2019-05-12,19:00,39
20,12,10,2,22,10,690,622,7,26,12,14,24,11,9,22,0,1,1,5,21,11,39,46,Fluminense,Cruzeiro,4,1,,,,5,2019-05-18,18:00,40
23,19,5,5,8,17,440,667,19,14,11,7,17,16,26,11,0,1,6,4,23,25,60,40,Palmeiras,Santos,4,0,,,,5,2019-05-18,19:00,41
11,8,2,18,10,34,470,693,12,24,9,6,11,17,33,12,0,0,12,7,27,24,44,51,Atlético Mineiro,Flamengo,2,1,,,,5,2019-05-18,19:00,42
9,19,4,6,14,16,700,540,10,23,7,8,25,19,18,15,3,1,11,8,15,18,43,42,São Paulo,Bahia,0,0,,,,5,2019-05-19,11:00,43
18,14,9,3,30,10,412,731,17,5,8,4,20,22,19,25,7,0,4,15,16,14,42,58,Goiás,Botafogo (RJ),1,0,,,,5,2019-05-19,16:00,44
16,12,11,3,38,15,788,554,20,11,10,7,16,23,11,34,3,1,3,14,23,17,43,62,Atl Paranaense,Corinthians,0,2,,,,5,2019-05-19,16:00,45
11,9,4,3,23,16,771,507,9,11,9,8,16,12,19,18,4,2,5,7,17,16,59,43,Internacional,CSA,2,0,,,,5,2019-05-19,16:00,46
16,12,9,4,36,15,625,600,11,13,8,5,21,18,16,22,0,2,6,11,19,33,60,57,Chapecoense,Fortaleza,1,3,,,,5,2019-05-19,16:00,47
16,14,5,10,17,26,564,571,20,18,12,14,22,15,25,15,3,3,10,7,21,30,53,50,Vasco da Gama,Avaí,1,1,,,,5,2019-05-19,19:00,48
14,16,2,7,9,18,458,726,33,13,8,7,18,17,27,12,2,1,9,4,13,25,55,52,Ceará,Grêmio,2,1,,,,5,2019-05-19,19:00,49
13,19,0,8,14,20,622,434,7,20,6,2,18,21,31,19,0,6,15,5,16,19,37,46,Botafogo (RJ),Palmeiras,0,1,,,,6,2019-05-25,16:00,50
10,14,13,4,28,13,773,627,10,16,10,9,11,20,26,21,0,0,3,13,18,27,47,44,Grêmio,Atlético Mineiro,1,0,,,,6,2019-05-25,19:00,51
19,19,7,4,18,11,709,535,18,19,10,16,9,18,11,28,0,3,8,4,24,22,38,56,Santos,Internacional,0,0,,,,6,2019-05-26,16:00,52
16,21,9,2,30,12,583,603,12,6,4,10,17,29,18,33,2,0,8,9,21,20,49,60,Flamengo,Atl Paranaense,3,2,,,,6,2019-05-26,16:00,53
16,14,3,4,14,16,520,633,25,15,9,5,25,25,30,6,1,3,10,8,30,32,50,46,Corinthians,São Paulo,1,0,,,,6,2019-05-26,19:00,54
9,12,2,5,17,16,684,468,9,8,8,5,17,10,17,23,0,0,10,10,17,11,45,38,Fortaleza,Vasco da Gama,1,1,,,,6,2019-05-26,19:00,55
13,11,8,2,25,10,750,495,21,10,7,10,23,22,12,26,1,0,4,12,16,20,38,64,Cruzeiro,Chapecoense,1,2,,,,6,2019-05-26,19:00,56
9,10,3,3,8,14,453,787,24,7,6,12,12,15,22,10,0,2,6,4,13,19,51,45,Bahia,Fluminense,3,2,,,,6,2019-05-26,19:00,57
21,15,3,0,14,12,634,634,25,22,24,13,16,27,16,28,2,1,8,9,29,32,72,53,Avaí,Ceará,1,2,,,,6,2019-05-27,20:00,58
19,10,3,9,14,30,533,630,20,10,17,8,24,20,33,19,1,0,11,11,16,31,50,54,CSA,Goiás,1,0,,,,6,2019-05-27,20:00,59
16,6,8,2,19,15,831,533,18,20,9,8,11,8,13,27,2,1,6,9,13,22,23,50,Flamengo,Fortaleza,2,0,,,,7,2019-06-01,16:00,60
8,10,10,4,23,15,582,708,12,23,4,6,16,18,10,17,0,5,6,8,32,13,39,45,Bahia,Grêmio,1,0,,,,7,2019-06-01,19:00,61
15,16,4,9,13,29,649,547,13,18,14,13,19,12,29,10,1,1,9,10,18,20,48,35,Botafogo (RJ),Vasco da Gama,1,0,,,,7,2019-06-02,11:00,62
20,17,6,4,24,10,636,532,14,8,15,6,18,13,14,17,1,0,7,9,15,21,42,49,Atl Paranaense,Fluminense,3,0,,,,7,2019-06-02,16:00,63
14,22,2,0,13,13,497,667,19,24,8,9,12,19,17,23,0,2,10,8,18,21,60,65,Ceará,Santos,0,1,,,,7,2019-06-02,16:00,64
15,12,5,9,19,17,579,752,17,25,7,9,18,18,30,18,0,4,6,6,21,14,53,53,São Paulo,Cruzeiro,1,1,,,,7,2019-06-02,16:00,65
2,11,11,2,23,17,931,455,9,11,10,11,23,14,11,25,2,0,7,20,19,12,60,53,Atlético Mineiro,CSA,4,0,,,,7,2019-06-02,19:00,66
14,21,3,5,23,10,607,537,14,21,7,8,19,17,15,24,1,1,7,11,23,26,42,53,Chapecoense,Palmeiras,1,2,,,,7,2019-06-02,19:00,67
11,12,5,7,16,23,880,572,19,20,12,12,28,19,29,15,3,1,4,8,20,19,64,50,Internacional,Avaí,2,0,,,,7,2019-06-02,19:00,68
13,16,0,10,9,31,480,853,22,17,7,6,25,18,36,9,0,5,8,4,16,19,49,45,Vasco da Gama,Internacional,2,1,,,,8,2019-06-07,20:30,69
