Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6.0,Sun,2019-05-26,16:00,Santos,0–0,Internacional,12756.0,Estádio Urbano Caldeira,Rodolpho Toski Marques,Match Report,
6.0,Sun,2019-05-26,16:00,Flamengo,3–2,Atl Paranaense,52667.0,Estadio Jornalista Mário Filho,Daniel Nobre Bins,Match Report,
6.0,Sun,2019-05-26,19:00,Corinthians,1–0,São Paulo,39378.0,Arena Corinthians,Flavio Rodrigues De Souza,Match Report,
6.0,Sun,2019-05-26,19:00,Fortaleza,1–1,Vasco da Gama,28148.0,Estádio Castelão,Anderson Daronco,Match Report,
6.0,Sun,2019-05-26,19:00,Cruzeiro,1–2,Chapecoense,18039.0,Estádio Governador Magalhães Pinto,Dewson Fernando Freitas da Silva,Match Report,
6.0,Sun,2019-05-26,19:00,Bahia,3–2,Fluminense,21776.0,Itaipava Arena Fonte Nova,Igor Junior Benevenuto,Match Report,
6.0,Mon,2019-05-27,20:00,Avaí,1–2,Ceará,5543.0,Estádio Aderbal Ramos da Silva,Rodrigo Carvalhaes de Miranda,Match Report,
6.0,Mon,2019-05-27,20:00,CSA,1–0,Goiás,9128.0,Estádio Rei Pelé,Edina Alves Batista,Match Report,
,,,,,,,,,,,
7.0,Sat,2019-06-01,16:00,Flamengo,2–0,Fortaleza,37658.0,Estadio Jornalista Mário Filho,Rodrigo D'Alonso Ferreira,Match Report,
7.0,Sat,2019-06-01,19:00,Bahia,1–0,Grêmio,26930.0,Itaipava Arena Fonte Nova,Dewson Fernando Freitas da Silva,Match Report,
7.0,Sun,2019-06-02,11:00,Botafogo (RJ),1–0,Vasco da Gama,19503.0,Estádio Nilton Santos,Vinicius Gonçalves Dias Araujo,Match Report,
7.0,Sun,2019-06-02,16:00,Atl Paranaense,3–0,Fluminense,11709.0,Estádio Joaquim Américo Guimarães,Wagner Reway,Match Report,
7.0,Sun,2019-06-02,16:00,Ceará,0–1,Santos,50809.0,Estádio Castelão,Ricardo Marques Ribeiro,Match Report,
7.0,Sun,2019-06-02,16:00,São Paulo,1–1,Cruzeiro,8517.0,Estádio do Morumbi,Braulio da Silva Machado,Match Report,
7.0,Sun,2019-06-02,19:00,Atlético Mineiro,4–0,CSA,14116.0,Estádio Raimundo Sampaio,Diego Pombo Lopez,Match Report,
7.0,Sun,2019-06-02,19:00,Chapecoense,1–2,Palmeiras,10615.0,Arena Condá,Rodolpho Toski Marques,Match Report,
7.0,Sun,2019-06-02,19:00,Internacional,2–0,Avaí,19789.0,Estádio José Pinheiro Borba,Rodrigo Nunes de Sá,Match Report,
,,,,,,,,,,,
8.0,Fri,2019-06-07,20:30,Vasco da Gama,2–1,Internacional,11046.0,Estádio Club de Regatas Vasco da Gama,Heber Roberto Lopes,Match Report,
8.0,Sat,2019-06-08,16:30,Palmeiras,1–0,Atl Paranaense,37086.0,Allianz Parque,Rodrigo D'Alonso Ferreira,Match Report,
8.0,Sat,2019-06-08,19:00,Cruzeiro,0–0,Corinthians,21370.0,Estádio Governador Magalhães Pinto,Marcelo de Lima Henrique,Match Report,
8.0,Sat,2019-06-08,19:00,Grêmio,1–0,Fortaleza,3761.0,Arena do Grêmio,Savio Pereira,Match Report,
8.0,Sat,2019-06-08,19:30,Ceará,0–0,Bahia,15566.0,Estádio Castelão,Thiago Duarte Peixoto,Match Report,
8.0,Sat,2019-06-08,21:00,Avaí,0–0,São Paulo,8084.0,Estádio Aderbal Ramos da Silva,Caio Max Augusto Vieira,Match Report,
8.0,Sun,2019-06-09,19:00,Santos,3–1,Atlético Mineiro,5794.0,Estádio Urbano Caldeira,Dewson Fernando Freitas da Silva,Match Report,
8.0,Sun,2019-06-09,19:00,CSA,1–2,Botafogo (RJ),11602.0,Estádio Rei Pelé,Jean Pierre Goncalves Lima,Match Report,
8.0,Sun,2019-06-09,19:00,Fluminense,0–0,Flamengo,42726.0,Estadio Jornalista Mário Filho,Wagner do Nascimento Magalhaes,Match Report,
8.0,Mon,2019-06-10,20:00,Goiás,3–1,Chapecoense,7756.0,Estádio de Hailé Pinheiro,Igor Junior Benevenuto,Match Report,
,,,,,,,,,,,
9.0,Wed,2019-06-12,19:15,Botafogo (RJ),0–1,Grêmio,17757.0,Estádio Nilton Santos,Marcelo Aparecido Ribeiro De Souza,Match Report,
9.0,Wed,2019-06-12,21:00,Fortaleza,2–1,Cruzeiro,17099.0,Estádio Castelão,Heber Roberto Lopes,Match Report,
9.0,Wed,2019-06-12,21:30,Internacional,3–1,Bahia,15724.0,Estádio José Pinheiro Borba,Paulo Roberto Alves Júnior,Match Report,
9.0,Wed,2019-06-12,21:30,Santos,1–0,Corinthians,11831.0,Estádio Urbano Caldeira,Wagner do Nascimento Magalhaes,Match Report,
9.0,Wed,2019-06-12,21:30,CSA,0–2,Flamengo,37673.0,Estádio Rei Pelé,Douglas Marques das Flores,Match Report,
9.0,Thu,2019-06-13,19:15,Vasco da Gama,1–0,Ceará,19584.0,Estádio Club de Regatas Vasco da Gama,Flavio Rodrigues De Souza,Match Report,
9.0,Thu,2019-06-13,20:00,Goiás,2–1,Atl Paranaense,10468.0,Estádio de Hailé Pinheiro,Rodrigo Carvalhaes de Miranda,Match Report,
9.0,Thu,2019-06-13,20:00,Chapecoense,1–1,Fluminense,6257.0,Arena Condá,Ricardo Marques Ribeiro,Match Report,
9.0,Thu,2019-06-13,20:00,Atlético Mineiro,1–1,São Paulo,19761.0,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,
9.0,Thu,2019-06-13,20:00,Palmeiras,2–0,Avaí,31946.0,Allianz Parque,Marcelo de Lima Henrique,Match Report,
,,,,,,,,,,,
10.0,Sat,2019-07-13,17:00,Fortaleza,2–0,Avaí,24864.0,Estádio Castelão,Thiago Duarte Peixoto,Match Report,
10.0,Sat,2019-07-13,17:00,Grêmio,2–1,Vasco da Gama,9701.0,Arena do Grêmio,Rodolpho Toski Marques,Match Report,
10.0,Sat,2019-07-13,19:00,São Paulo,1–1,Palmeiras,38267.0,Estádio do Morumbi,Bruno Arleu de Araujo,Match Report,
10.0,Sat,2019-07-13,19:00,Bahia,0–1,Santos,18465.0,Itaipava Arena Fonte Nova,Jean Pierre Goncalves Lima,Match Report,
10.0,Sun,2019-07-14,11:00,Flamengo,6–1,Goiás,65154.0,Estadio Jornalista Mário Filho,Caio Max Augusto Vieira,Match Report,
10.0,Sun,2019-07-14,16:00,Corinthians,1–0,CSA,33952.0,Arena Corinthians,Wagner Reway,Match Report,
10.0,Sun,2019-07-14,16:00,Atl Paranaense,1–0,Internacional,12700.0,Estádio Joaquim Américo Guimarães,Braulio da Silva Machado,Match Report,
10.0,Sun,2019-07-14,16:00,Cruzeiro,0–0,Botafogo (RJ),18012.0,Estádio Governador Magalhães Pinto,Leandro Pedro Vuaden,Match Report,
10.0,Sun,2019-07-14,19:00,Chapecoense,1–2,Atlético Mineiro,2600.0,Arena Condá,Marcelo Aparecido Ribeiro De Souza,Match Report,
10.0,Mon,2019-07-15,20:00,Fluminense,1–1,Ceará,23484.0,Estadio Jornalista Mário Filho,Douglas Marques das Flores,Match Report,
,,,,,,,,,,,
11.0,Sat,2019-07-20,11:00,Vasco da Gama,2–1,Fluminense,20904.0,Estádio Club de Regatas Vasco da Gama,Bruno Arleu de Araujo,Match Report,
11.0,Sat,2019-07-20,17:00,Bahia,0–0,Cruzeiro,24864.0,Itaipava Arena Fonte Nova,Luiz Flávio de Oliveira,Match Report,
11.0,Sat,2019-07-20,19:00,Internacional,1–1,Grêmio,35103.0,Estádio José Pinheiro Borba,Anderson Daronco,Match Report,
11.0,Sat,2019-07-20,19:00,CSA,0–4,Atl Paranaense,7845.0,Estádio Rei Pelé,Ricardo Marques Ribeiro,Match Report,
11.0,Sat,2019-07-20,19:00,Ceará,2–0,Palmeiras,32287.0,Estádio Castelão,Rodrigo D'Alonso Ferreira,Match Report,
11.0,Sun,2019-07-21,11:00,Botafogo (RJ),0–1,Santos,16248.0,Estádio Nilton Santos,Heber Roberto Lopes,Match Report,
11.0,Sun,2019-07-21,16:00,Atlético Mineiro,2–2,Fortaleza,16043.0,Estádio Raimundo Sampaio,Edina Alves Batista,Match Report,
11.0,Sun,2019-07-21,16:00,Corinthians,1–1,Flamengo,34737.0,Arena Corinthians,Leandro Pedro Vuaden,Match Report,
11.0,Sun,2019-07-21,19:00,Avaí,0–0,Goiás,5497.0,Estádio Aderbal Ramos da Silva,Rodolpho Toski Marques,Match Report,
11.0,Mon,2019-07-22,20:00,São Paulo,4–0,Chapecoense,35558.0,Estádio do Morumbi,Savio Pereira,Match Report,
,,,,,,,,,,,
12.0,Sat,2019-07-27,17:00,Palmeiras,1–1,Vasco da Gama,37754.0,Allianz Parque,Ricardo Marques Ribeiro,Match Report,
12.0,Sat,2019-07-27,19:00,Fluminense,1–2,São Paulo,21741.0,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
12.0,Sat,2019-07-27,19:00,Internacional,1–0,Ceará,11033.0,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Match Report,
12.0,Sat,2019-07-27,19:00,Cruzeiro,0–2,Atl Paranaense,20689.0,Estádio Governador Magalhães Pinto,Rodrigo Carvalhaes de Miranda,Match Report,
12.0,Sun,2019-07-28,11:00,Chapecoense,0–0,Bahia,12787.0,Arena Condá,Dewson Fernando Freitas da Silva,Match Report,
12.0,Sun,2019-07-28,16:00,Santos,3–1,Avaí,12787.0,Estádio Urbano Caldeira,Wagner Reway,Match Report,
12.0,Sun,2019-07-28,16:00,Flamengo,3–2,Botafogo (RJ),45622.0,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
12.0,Sun,2019-07-28,19:00,Goiás,0–0,Atlético Mineiro,10439.0,Estádio de Hailé Pinheiro,Luiz Flávio de Oliveira,Match Report,
12.0,Sun,2019-07-28,19:00,Fortaleza,1–3,Corinthians,41546.0,Estádio Castelão,Wilton Sampaio,Match Report,
12.0,Mon,2019-07-29,20:00,CSA,0–0,Grêmio,11918.0,Estádio Rei Pelé,Caio Max Augusto Vieira,Match Report,
,,,,,,,,,,,
13.0,Sat,2019-08-03,19:00,Fluminense,2–1,Internacional,16485.0,Estadio Jornalista Mário Filho,Rodolpho Toski Marques,Match Report,
13.0,Sat,2019-08-03,19:00,Ceará,2–1,Fortaleza,38421.0,Estádio Castelão,Heber Roberto Lopes,Match Report,
13.0,Sun,2019-08-04,11:00,Santos,6–1,Goiás,13462.0,Estádio Urbano Caldeira,Rafael Traci,Match Report,
13.0,Sun,2019-08-04,16:00,Bahia,3–0,Flamengo,43099.0,Itaipava Arena Fonte Nova,Flavio Rodrigues De Souza,Match Report,
13.0,Sun,2019-08-04,16:00,Avaí,0–2,Botafogo (RJ),7140.0,Estádio Aderbal Ramos da Silva,Vinicius Furlan,Match Report,
13.0,Sun,2019-08-04,19:00,Atlético Mineiro,2–0,Cruzeiro,13181.0,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,
13.0,Sun,2019-08-04,19:00,Vasco da Gama,0–0,CSA,9631.0,Estádio Club de Regatas Vasco da Gama,Marielson Alves Silva,Match Report,
13.0,Sun,2019-08-04,19:00,Corinthians,1–1,Palmeiras,42675.0,Arena Corinthians,Anderson Daronco,Match Report,
13.0,Mon,2019-08-05,20:00,Grêmio,3–3,Chapecoense,13418.0,Arena do Grêmio,Felipe Fernandes de Lima,Match Report,
,,,,,,,,,,,
7.0,Wed,2019-08-07,19:15,Corinthians,2–0,Goiás,34595.0,Arena Corinthians,Bruno Arleu de Araujo,Match Report,
,,,,,,,,,,,
14.0,Sat,2019-08-10,17:00,Ceará,4–1,Chapecoense,21428.0,Estádio Castelão,Rodrigo Carvalhaes de Miranda,Match Report,
14.0,Sat,2019-08-10,17:00,São Paulo,3–2,Santos,47277.0,Estádio do Morumbi,Raphael Claus,Match Report,
14.0,Sat,2019-08-10,19:00,Flamengo,3–1,Grêmio,57644.0,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,
14.0,Sat,2019-08-10,21:00,Atlético Mineiro,2–1,Fluminense,19081.0,Estádio Raimundo Sampaio,Wilton Sampaio,Match Report,
14.0,Sun,2019-08-11,11:00,Internacional,0–0,Corinthians,32049.0,Estádio José Pinheiro Borba,Caio Max Augusto Vieira,Match Report,
14.0,Sun,2019-08-11,16:00,Botafogo (RJ),2–1,Atl Paranaense,7992.0,Estádio Nilton Santos,Douglas Marques das Flores,Match Report,
14.0,Sun,2019-08-11,16:00,Palmeiras,2–2,Bahia,34275.0,Allianz Parque,Igor Junior Benevenuto,Match Report,
14.0,Sun,2019-08-11,16:00,Avaí,2–2,Cruzeiro,4921.0,Estádio Aderbal Ramos da Silva,Paulo Roberto Alves Júnior,Match Report,
14.0,Sun,2019-08-11,19:00,Goiás,0–1,Vasco da Gama,14529.0,Estádio de Hailé Pinheiro,Jean Pierre Goncalves Lima,Match Report,
14.0,Mon,2019-08-12,20:00,CSA,0–2,Fortaleza,9924.0,Estádio Rei Pelé,Gilberto Rodrigues Castro Junior,Match Report,
,,,,,,,,,,,
15.0,Sat,2019-08-17,17:00,Corinthians,2–0,Botafogo (RJ),38882.0,Arena Corinthians,Rafael Traci,Match Report,
15.0,Sat,2019-08-17,17:00,Fortaleza,0–1,Internacional,38519.0,Estádio Castelão,Braulio da Silva Machado,Match Report,
15.0,Sat,2019-08-17,19:00,Atl Paranaense,1–0,Atlético Mineiro,13148.0,Estádio Joaquim Américo Guimarães,Dewson Fernando Freitas da Silva,Match Report,
15.0,Sat,2019-08-17,19:00,Vasco da Gama,1–4,Flamengo,65418.0,Estádio Club de Regatas Vasco da Gama,Leandro Pedro Vuaden,Match Report,
15.0,Sat,2019-08-17,21:00,Grêmio,1–1,Palmeiras,12897.0,Arena do Grêmio,Wagner do Nascimento Magalhaes,Match Report,
15.0,Sun,2019-08-18,16:00,São Paulo,1–0,Ceará,47705.0,Estádio do Morumbi,Gilberto Rodrigues Castro Junior,Match Report,
15.0,Sun,2019-08-18,16:00,Bahia,1–1,Goiás,28866.0,Itaipava Arena Fonte Nova,Raphael Claus,Match Report,
15.0,Sun,2019-08-18,16:00,Cruzeiro,2–0,Santos,43604.0,Estádio Governador Magalhães Pinto,Anderson Daronco,Match Report,
15.0,Sun,2019-08-18,16:00,Fluminense,0–1,CSA,25049.0,Estadio Jornalista Mário Filho,Wagner Reway,Match Report,
15.0,Sun,2019-08-18,19:00,Chapecoense,1–0,Avaí,7027.0,Arena Condá,Luiz Flávio de Oliveira,Match Report,
,,,,,,,,,,,
13.0,Wed,2019-08-21,19:15,Atl Paranaense,0–1,São Paulo,20047.0,Estádio Joaquim Américo Guimarães,Daniel Nobre Bins,Match Report,
,,,,,,,,,,,
16.0,Sat,2019-08-24,11:00,Atlético Mineiro,0–1,Bahia,22401.0,Estádio Raimundo Sampaio,Rodolpho Toski Marques,Match Report,
16.0,Sat,2019-08-24,17:00,Grêmio,2–1,Atl Paranaense,12748.0,Arena do Grêmio,Bruno Arleu de Araujo,Match Report,
16.0,Sun,2019-08-25,16:00,Vasco da Gama,2–0,São Paulo,20404.0,Estádio Club de Regatas Vasco da Gama,Anderson Daronco,Match Report,
16.0,Sun,2019-08-25,16:00,Goiás,2–1,Internacional,8634.0,Estádio de Hailé Pinheiro,Marielson Alves Silva,Match Report,
16.0,Sun,2019-08-25,16:00,Santos,3–3,Fortaleza,12515.0,Estádio Urbano Caldeira,Rodrigo D'Alonso Ferreira,Match Report,
16.0,Sun,2019-08-25,19:00,Ceará,0–3,Flamengo,49986.0,Estádio Castelão,Wilton Sampaio,Match Report,
16.0,Sun,2019-08-25,19:00,CSA,1–1,Cruzeiro,8715.0,Estádio Rei Pelé,Marcelo de Lima Henrique,Match Report,
16.0,Sun,2019-08-25,19:00,Avaí,1–1,Corinthians,9753.0,Estádio Aderbal Ramos da Silva,Ricardo Marques Ribeiro,Match Report,
16.0,Mon,2019-08-26,20:00,Botafogo (RJ),0–0,Chapecoense,8241.0,Estádio Nilton Santos,Edina Alves Batista,Match Report,
,,,,,,,,,,,
17.0,Sat,2019-08-31,11:00,São Paulo,0–0,Grêmio,46997.0,Estádio do Morumbi,Caio Max Augusto Vieira,Match Report,
17.0,Sat,2019-08-31,17:00,Bahia,1–0,CSA,32483.0,Itaipava Arena Fonte Nova,Vinicius Gomes do Amaral,Match Report,
17.0,Sat,2019-08-31,19:00,Atl Paranaense,1–0,Ceará,10075.0,Estádio Joaquim Américo Guimarães,Leandro Pedro Vuaden,Match Report,
17.0,Sat,2019-08-31,19:00,Chapecoense,0–1,Santos,9052.0,Arena Condá,Bruno Arleu de Araujo,Match Report,
17.0,Sat,2019-08-31,21:00,Internacional,3–2,Botafogo (RJ),8534.0,Estádio José Pinheiro Borba,Dewson Fernando Freitas da Silva,Match Report,
17.0,Sun,2019-09-01,16:00,Fortaleza,2–0,Goiás,34343.0,Estádio Castelão,Felipe Fernandes de Lima,Match Report,
17.0,Sun,2019-09-01,16:00,Flamengo,3–0,Palmeiras,65969.0,Estadio Jornalista Mário Filho,Rafael Traci,Match Report,
17.0,Sun,2019-09-01,19:00,Cruzeiro,1–0,Vasco da Gama,26052.0,Estádio Governador Magalhães Pinto,Heber Roberto Lopes,Match Report,
17.0,Sun,2019-09-01,19:00,Corinthians,1–0,Atlético Mineiro,31961.0,Arena Corinthians,Wilton Sampaio,Match Report,
17.0,Mon,2019-09-02,20:00,Fluminense,0–1,Avaí,16811.0,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
,,,,,,,,,,,
18.0,Sat,2019-09-07,11:00,Corinthians,2–2,Ceará,43230.0,Arena Corinthians,Paulo Roberto Alves Júnior,Match Report,
18.0,Sat,2019-09-07,11:00,Vasco da Gama,0–2,Bahia,20282.0,Estádio Club de Regatas Vasco da Gama,Caio Max Augusto Vieira,Match Report,
18.0,Sat,2019-09-07,17:00,Avaí,0–3,Flamengo,47575.0,Estádio Aderbal Ramos da Silva,Edina Alves Batista,Match Report,
18.0,Sat,2019-09-07,17:00,Fortaleza,0–1,Fluminense,35474.0,Estádio Castelão,Wilton Sampaio,Match Report,
18.0,Sat,2019-09-07,19:00,Internacional,1–0,São Paulo,14302.0,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Match Report,
18.0,Sat,2019-09-07,21:00,Goiás,1–2,Palmeiras,17115.0,Estádio de Hailé Pinheiro,Wagner Reway,Match Report,
18.0,Sun,2019-09-08,11:00,Cruzeiro,1–4,Grêmio,14208.0,Estádio Governador Magalhães Pinto,Rafael Traci,Match Report,
18.0,Sun,2019-09-08,16:00,Botafogo (RJ),2–1,Atlético Mineiro,12098.0,Estádio Nilton Santos,Braulio da Silva Machado,Match Report,
18.0,Sun,2019-09-08,16:00,Santos,1–1,Atl Paranaense,12589.0,Estádio Urbano Caldeira,Rodrigo Carvalhaes de Miranda,Match Report,
18.0,Sun,2019-09-08,19:00,CSA,2–0,Chapecoense,9311.0,Estádio Rei Pelé,Vinicius Gonçalves Dias Araujo,Match Report,
,,,,,,,,,,,
16.0,Tue,2019-09-10,21:00,Palmeiras,3–0,Fluminense,27956.0,Allianz Parque,Anderson Daronco,Match Report,
,,,,,,,,,,,
19.0,Sat,2019-09-14,17:00,Flamengo,1–0,Santos,68243.0,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,
19.0,Sat,2019-09-14,19:00,Chapecoense,1–2,Vasco da Gama,8808.0,Arena Condá,Flavio Rodrigues De Souza,Match Report,
19.0,Sat,2019-09-14,19:00,Palmeiras,1–0,Cruzeiro,35578.0,Allianz Parque,Rodolpho Toski Marques,Match Report,
19.0,Sat,2019-09-14,21:00,Ceará,0–0,Botafogo (RJ),20906.0,Estádio Castelão,Luiz Flávio de Oliveira,Match Report,
19.0,Sun,2019-09-15,11:00,Atlético Mineiro,1–3,Internacional,18966.0,Estádio Raimundo Sampaio,Bruno Arleu de Araujo,Match Report,
