Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1.0,Sat,2019-04-27,16:00,São Paulo,2–0,Botafogo (RJ),26533.0,Estádio do Morumbi,Caio Max Augusto Vieira,Match Report,
1.0,Sat,2019-04-27,19:00,Chapecoense,2–0,Internacional,8231.0,Arena Condá,Raphael Claus,Match Report,
1.0,Sat,2019-04-27,19:00,Atlético Mineiro,2–1,Avaí,10531.0,Estádio Raimundo Sampaio,Rodolpho Toski Marques,Match Report,
1.0,Sat,2019-04-27,21:00,Flamengo,3–1,Cruzeiro,35016.0,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
1.0,Sun,2019-04-28,11:00,Grêmio,1–2,Santos,32318.0,Arena do Grêmio,Bruno Arleu de Araujo,Match Report,
1.0,Sun,2019-04-28,16:00,Ceará,4–0,CSA,12550.0,Estádio Castelão,Adriano Milevski,Match Report,
1.0,Sun,2019-04-28,16:00,Atl Paranaense,4–1,Vasco da Gama,12275.0,Estádio Joaquim Américo Guimarães,Luiz Flávio de Oliveira,Match Report,
1.0,Sun,2019-04-28,16:00,Bahia,3–2,Corinthians,29294.0,Itaipava Arena Fonte Nova,Wilton Sampaio,Match Report,
1.0,Sun,2019-04-28,19:00,Palmeiras,4–0,Fortaleza,26701.0,Allianz Parque,Braulio da Silva Machado,Match Report,
1.0,Sun,2019-04-28,19:00,Fluminense,0–1,Goiás,17420.0,Estadio Jornalista Mário Filho,Dewson Fernando Freitas da Silva,Match Report,
,,,,,,,,,,,
2.0,Wed,2019-05-01,16:00,Internacional,2–1,Flamengo,37001.0,Estádio José Pinheiro Borba,Flavio Rodrigues De Souza,Match Report,
2.0,Wed,2019-05-01,16:00,Corinthians,1–0,Chapecoense,30442.0,Arena Corinthians,Ricardo Marques Ribeiro,Match Report,
2.0,Wed,2019-05-01,16:00,CSA,1–1,Palmeiras,15735.0,Estádio Rei Pelé,Caio Max Augusto Vieira,Match Report,
2.0,Wed,2019-05-01,19:15,Cruzeiro,1–0,Ceará,22677.0,Estádio Governador Magalhães Pinto,Wagner Reway,Match Report,
2.0,Wed,2019-05-01,19:15,Avaí,1–1,Grêmio,12181.0,Estádio Aderbal Ramos da Silva,Wagner do Nascimento Magalhaes,Match Report,
2.0,Wed,2019-05-01,21:30,Goiás,1–2,São Paulo,29644.0,Estádio de Hailé Pinheiro,Rafael Traci,Match Report,
2.0,Wed,2019-05-01,21:30,Fortaleza,2–1,Atl Paranaense,20578.0,Estádio Castelão,Marcelo de Lima Henrique,Match Report,
2.0,Wed,2019-05-01,21:30,Vasco da Gama,1–2,Atlético Mineiro,6745.0,Estádio Club de Regatas Vasco da Gama,Raphael Claus,Match Report,
2.0,Thu,2019-05-02,19:15,Santos,2–1,Fluminense,10564.0,Estádio Urbano Caldeira,Wilton Sampaio,Match Report,
2.0,Thu,2019-05-02,20:00,Botafogo (RJ),3–2,Bahia,7568.0,Estádio Nilton Santos,Luiz Flávio de Oliveira,Match Report,
,,,,,,,,,,,
3.0,Sat,2019-05-04,19:00,Palmeiras,1–0,Internacional,31549.0,Allianz Parque,Wagner do Nascimento Magalhaes,Match Report,
3.0,Sat,2019-05-04,19:00,Vasco da Gama,1–1,Corinthians,25779.0,Estádio Club de Regatas Vasco da Gama,Rodrigo D'Alonso Ferreira,Match Report,
3.0,Sat,2019-05-04,21:00,Ceará,1–2,Atlético Mineiro,16815.0,Estádio Castelão,Flavio Rodrigues De Souza,Match Report,
3.0,Sun,2019-05-05,11:00,Chapecoense,1–1,Atl Paranaense,6433.0,Arena Condá,Vinicius Gonçalves Dias Araujo,Match Report,
3.0,Sun,2019-05-05,16:00,CSA,0–0,Santos,10313.0,Estádio Rei Pelé,Rodolpho Toski Marques,Match Report,
3.0,Sun,2019-05-05,16:00,Botafogo (RJ),1–0,Fortaleza,13749.0,Estádio Nilton Santos,Wagner Reway,Match Report,
3.0,Sun,2019-05-05,16:00,Cruzeiro,2–1,Goiás,19735.0,Estádio Governador Magalhães Pinto,Rodrigo Carvalhaes de Miranda,Match Report,
3.0,Sun,2019-05-05,16:00,São Paulo,1–1,Flamengo,38749.0,Estádio do Morumbi,Ricardo Marques Ribeiro,Match Report,
3.0,Sun,2019-05-05,19:00,Grêmio,4–5,Fluminense,8390.0,Arena do Grêmio,Raphael Claus,Match Report,
3.0,Sun,2019-05-05,19:00,Bahia,1–0,Avaí,18673.0,Itaipava Arena Fonte Nova,Bruno Arleu de Araujo,Match Report,
,,,,,,,,,,,
4.0,Sat,2019-05-11,16:00,Fluminense,0–1,Botafogo (RJ),24600.0,Estadio Jornalista Mário Filho,Marcelo Aparecido Ribeiro De Souza,Match Report,
4.0,Sat,2019-05-11,19:00,Corinthians,0–0,Grêmio,36360.0,Arena Corinthians,Marcelo de Lima Henrique,Match Report,
4.0,Sat,2019-05-11,21:00,Goiás,2–1,Ceará,9493.0,Estádio de Hailé Pinheiro,Caio Max Augusto Vieira,Match Report,
4.0,Sun,2019-05-12,11:00,Flamengo,2–1,Chapecoense,61023.0,Estadio Jornalista Mário Filho,Jean Pierre Goncalves Lima,Match Report,
4.0,Sun,2019-05-12,16:00,Santos,3–0,Vasco da Gama,12952.0,Estádio Urbano Caldeira,Paulo Roberto Alves Júnior,Match Report,
4.0,Sun,2019-05-12,16:00,Internacional,3–1,Cruzeiro,21483.0,Estádio José Pinheiro Borba,Raphael Claus,Match Report,
4.0,Sun,2019-05-12,16:00,Atlético Mineiro,0–2,Palmeiras,24368.0,Estádio Raimundo Sampaio,Anderson Daronco,Match Report,
4.0,Sun,2019-05-12,19:00,Atl Paranaense,1–0,Bahia,10510.0,Estádio Joaquim Américo Guimarães,Savio Pereira,Match Report,
4.0,Sun,2019-05-12,19:00,Avaí,0–0,CSA,4852.0,Estádio Aderbal Ramos da Silva,Dewson Fernando Freitas da Silva,Match Report,
4.0,Sun,2019-05-12,19:00,Fortaleza,0–1,São Paulo,42955.0,Estádio Castelão,Wilton Sampaio,Match Report,
,,,,,,,,,,,
5.0,Sat,2019-05-18,18:00,Fluminense,4–1,Cruzeiro,11437.0,Estadio Jornalista Mário Filho,Flavio Rodrigues De Souza,Match Report,
5.0,Sat,2019-05-18,19:00,Palmeiras,4–0,Santos,32501.0,Allianz Parque,Rafael Traci,Match Report,
5.0,Sat,2019-05-18,19:00,Atlético Mineiro,2–1,Flamengo,13616.0,Estádio Raimundo Sampaio,Paulo Roberto Alves Júnior,Match Report,
5.0,Sun,2019-05-19,11:00,São Paulo,0–0,Bahia,44640.0,Estádio do Morumbi,Daniel Nobre Bins,Match Report,
5.0,Sun,2019-05-19,16:00,Goiás,1–0,Botafogo (RJ),16347.0,Estádio de Hailé Pinheiro,Rodolpho Toski Marques,Match Report,
5.0,Sun,2019-05-19,16:00,Atl Paranaense,0–2,Corinthians,18284.0,Estádio Joaquim Américo Guimarães,Wagner do Nascimento Magalhaes,Match Report,
5.0,Sun,2019-05-19,16:00,Internacional,2–0,CSA,24220.0,Estádio José Pinheiro Borba,Rodrigo Carvalhaes de Miranda,Match Report,
5.0,Sun,2019-05-19,16:00,Chapecoense,1–3,Fortaleza,6765.0,Arena Condá,Thiago Duarte Peixoto,Match Report,
5.0,Sun,2019-05-19,19:00,Vasco da Gama,1–1,Avaí,13924.0,Estádio Club de Regatas Vasco da Gama,Ricardo Marques Ribeiro,Match Report,
5.0,Sun,2019-05-19,19:00,Ceará,2–1,Grêmio,17506.0,Estádio Castelão,Igor Junior Benevenuto,Match Report,
,,,,,,,,,,,
6.0,Sat,2019-05-25,16:00,Botafogo (RJ),0–1,Palmeiras,33143.0,Estádio Nilton Santos,Paulo Roberto Alves Júnior,Match Report,
6.0,Sat,2019-05-25,19:00,Grêmio,1–0,Atlético Mineiro,13714.0,Arena do Grêmio,Rafael Traci,Match Report,
