player,shirt_number,nation,position,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,fouls_commited,fouls_drawn,offsides,crosses,tackles_on,interceptions,own_goals,penalty_kicks_won,penalty_kicks_conceded,team,match_id
Lucho González,3.0,ar ARG,MF,31.0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,,,Atl Paranaense,207
Márcio Azevedo,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Atl Paranaense,207
Léo Pereira,4.0,br BRA,CB,90.0,0,0,0,0,2,0,1,0,1,1,0,0,0,3,0,,,Atl Paranaense,207
Lucas Halter,33.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,Atl Paranaense,207
Mádson,23.0,br BRA,RB,90.0,0,0,0,0,1,1,0,0,0,3,0,7,2,1,0,,,Atl Paranaense,207
Santos,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Atl Paranaense,207
Pablo,9.0,br BRA,FW,90.0,0,0,0,0,1,0,1,0,4,1,2,0,0,1,0,,,São Paulo,208
Tchê Tchê,28.0,br BRA,LW,66.0,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,,,São Paulo,208
Vitor Bueno,12.0,br BRA,MF,24.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,São Paulo,208
Hernanes,15.0,br BRA,AM,89.0,0,0,0,0,1,0,1,0,3,5,0,1,2,3,0,,,São Paulo,208
Hudson,25.0,br BRA,MF,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,São Paulo,208
Dani Alves,10.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,4,5,1,2,1,1,0,,,São Paulo,208
Antony,39.0,br BRA,RW,84.0,0,0,0,0,3,1,0,0,3,4,0,2,3,0,0,,,São Paulo,208
Liziero,14.0,br BRA,MF,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,São Paulo,208
Luan,13.0,br BRA,DM,90.0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,0,,,São Paulo,208
Reinaldo,6.0,br BRA,LB,90.0,0,0,0,0,1,0,1,0,4,0,0,1,2,5,0,,,São Paulo,208
Robert Arboleda,5.0,ec ECU,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,São Paulo,208
