player,shirt_number,nation,position,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,fouls_commited,fouls_drawn,offsides,crosses,tackles_on,interceptions,own_goals,penalty_kicks_won,penalty_kicks_conceded,team,match_id
Erik Lima,11.0,br BRA,FW,90.0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,,,Botafogo (RJ),0
Rodrigo Pimpão,9.0,br BRA,LW,90.0,0,0,0,0,3,1,1,0,1,0,1,4,0,0,0,,,Botafogo (RJ),0
João Paulo Mior,10.0,br BRA,AM,76.0,0,0,0,0,2,0,1,0,1,3,0,2,2,1,0,,,Botafogo (RJ),0
Leonardo Valencia,20.0,cl CHI,MF,14.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,Botafogo (RJ),0
Wenderson,7.0,br BRA,AM,56.0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,,,Botafogo (RJ),0
Luiz Fernando,17.0,br BRA,MF,34.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,Botafogo (RJ),0
Cícero Santos,8.0,br BRA,RW,90.0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,,,Botafogo (RJ),0
Gustavo Bochecha,5.0,br BRA,DM,76.0,0,0,0,0,0,0,0,0,2,4,0,0,4,0,0,,,Botafogo (RJ),0
Gustavo Ferrareis,19.0,br BRA,MF,14.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Botafogo (RJ),0
Jonathan,6.0,br BRA,LB,90.0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,,,Botafogo (RJ),0
Gabriel,2.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,,,Botafogo (RJ),0
Joel Carli,3.0,ar ARG,CB,90.0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,Botafogo (RJ),0
Marcinho,4.0,br BRA,RB,90.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,Botafogo (RJ),0
Gatito Fernández,1.0,py PAR,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Botafogo (RJ),0
Alexandre Pato,7.0,br BRA,FW,75.0,0,0,0,0,1,0,0,0,2,0,2,1,0,1,0,,,São Paulo,0
Jonas,44.0,br BRA,MF,15.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,São Paulo,0
Éverton,22.0,br BRA,AM,90.0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,,,São Paulo,0
Igor Gomes,26.0,br BRA,AM,63.0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,,,São Paulo,0
Hernanes,15.0,br BRA,MF,27.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,São Paulo,0
Antony,39.0,br BRA,AM,90.0,0,1,0,0,0,0,0,0,0,2,0,3,1,1,0,,,São Paulo,0
Hudson,25.0,br BRA,DM,90.0,1,0,0,0,1,1,0,0,4,1,0,0,0,0,0,,,São Paulo,0
Tchê Tchê,28.0,br BRA,DM,86.0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,,,São Paulo,0
Vitor Bueno,12.0,br BRA,MF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,São Paulo,0
Reinaldo,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,,,São Paulo,0
Bruno Fabiano Alves,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,São Paulo,0
Robert Arboleda,5.0,ec ECU,CB,90.0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,São Paulo,0
Igor Vinícius de Souza,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,,,São Paulo,0
Tiago Volpi,23.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,São Paulo,0
Neílton,17.0,br BRA,FW,90.0,0,0,0,0,3,1,0,0,1,4,0,0,2,0,0,,,Internacional,1
Rafael Sóbis,23.0,br BRA,FW,90.0,0,0,0,0,2,0,0,0,2,1,0,8,1,0,0,,,Internacional,1
William Pottker,99.0,br BRA,FW,61.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,,,Internacional,1
Martín Sarrafiore,29.0,ar ARG,FW,29.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Internacional,1
Nonato,33.0,br BRA,CM,90.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,Internacional,1
Rodrigo Lindoso,19.0,br BRA,CM,90.0,0,0,0,0,2,1,0,0,1,1,0,0,3,1,0,,,Internacional,1
Fernando Camilo Farias,21.0,br BRA,CM,53.0,0,0,0,0,3,1,0,0,0,1,0,1,2,1,0,,,Internacional,1
Jonatan Álvez,86.0,uy URU,FW,37.0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,,,Internacional,1
Uendel,6.0,br BRA,LB,90.0,0,0,0,0,1,1,0,0,2,0,1,11,0,2,0,,,Internacional,1
Emerson Santos,20.0,br BRA,CB,68.0,0,0,0,0,1,1,1,0,2,1,0,0,0,2,0,,,Internacional,1
Rodrigo Moledo,4.0,br BRA,DF,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Internacional,1
Roberto,40.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,,,Internacional,1
Bruno Vieira,2.0,br BRA,RB,90.0,0,0,0,0,1,0,0,0,2,1,0,4,1,2,0,,,Internacional,1
Marcelo Lomba,12.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Internacional,1
Everaldo Stum,77.0,br BRA,FW,90.0,2,0,1,1,3,3,0,0,5,1,0,0,0,0,0,,,Chapecoense,1
Régis Tosatti,83.0,br BRA,AM,77.0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,,,Chapecoense,1
Renato,19.0,br BRA,"DF,FW",13.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Diego Fabián Torres,12.0,ar ARG,AM,67.0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,,,Chapecoense,1
Amaral,55.0,br BRA,MF,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Alan Ruschel,28.0,br BRA,AM,65.0,0,0,0,0,1,1,0,0,4,4,0,0,0,1,0,,,Chapecoense,1
Aylon,18.0,br BRA,"FW,MF",25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Gustavo Campanharo,10.0,br BRA,DM,90.0,0,0,0,0,2,1,0,0,3,0,0,0,1,2,0,,,Chapecoense,1
Márcio Araújo,8.0,br BRA,DM,90.0,0,0,0,0,2,1,0,0,1,0,0,0,2,1,0,,,Chapecoense,1
Bruno Pacheco,6.0,br BRA,LB,90.0,0,1,0,0,0,0,0,0,0,1,0,5,3,2,0,,,Chapecoense,1
Douglas,23.0,br BRA,CB,90.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,,Chapecoense,1
Gum,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,,,Chapecoense,1
Eduardo,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,,,Chapecoense,1
Tiepo,98.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Getúlio,99.0,br BRA,FW,45.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,Avaí,2
Feliciano Brizuela,11.0,py PAR,FW,45.0,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,,,Avaí,2
Gegê,20.0,br BRA,LW,73.0,0,0,0,0,0,0,0,0,4,1,0,4,1,2,0,,,Avaí,2
Jones Carioca,8.0,br BRA,MF,17.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,Avaí,2
Pedro Castro,7.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,,,Avaí,2
Matheus Barbosa,94.0,br BRA,AM,90.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,Avaí,2
João Paulo,19.0,br BRA,RW,90.0,0,0,0,0,1,0,0,0,1,3,0,2,2,1,0,,,Avaí,2
Jonny Mosquera,5.0,co COL,DM,72.0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,,,Avaí,2
André Moritz,30.0,br BRA,"FW,MF",18.0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,Avaí,2
Paulinho Oliveira,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,6,0,0,3,1,1,0,,,Avaí,2
Marquinhos,33.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,,,Avaí,2
Betão,3.0,br BRA,CB,90.0,0,0,0,0,1,1,1,0,1,2,0,0,0,2,0,,,Avaí,2
Iury,22.0,br BRA,RB,90.0,0,1,0,0,0,0,0,0,1,0,0,2,1,6,0,,,Avaí,2
Vladimir,89.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Avaí,2
Ricardo Oliveira,9.0,br BRA,FW,89.0,1,0,0,0,3,1,0,0,1,1,0,1,0,0,0,,,Atlético Mineiro,2
José Welison,14.0,br BRA,MF,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Atlético Mineiro,2
Yimmi Chará,8.0,co COL,AM,77.0,0,0,0,0,3,0,0,0,1,1,0,1,1,1,0,,,Atlético Mineiro,2
Jair,88.0,br BRA,MF,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Atlético Mineiro,2
Luan,27.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,1,1,0,8,2,1,0,,,Atlético Mineiro,2
Geuvânio,49.0,br BRA,AM,90.0,0,1,0,0,1,1,0,0,1,7,0,2,3,3,0,,,Atlético Mineiro,2
Elías,7.0,br BRA,DM,63.0,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,,,Atlético Mineiro,2
Vinícius,29.0,br BRA,MF,27.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,Atlético Mineiro,2
Adílson Warken,21.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,,,Atlético Mineiro,2
Fábio Santos,6.0,br BRA,LB,90.0,1,0,1,1,1,1,0,0,1,2,0,3,1,3,0,,,Atlético Mineiro,2
Iago Maidana,19.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,Atlético Mineiro,2
Leonardo Silva,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,,Atlético Mineiro,2
Guga,98.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,,,Atlético Mineiro,2
Victor Leandro Bagy,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Atlético Mineiro,2
Fred,9.0,br BRA,FW,90.0,0,1,0,0,0,0,1,0,2,3,0,0,0,1,0,,,Cruzeiro,3
Pedro Rocha Neves,32.0,br BRA,AM,68.0,1,0,0,0,1,1,0,0,1,2,0,0,2,1,0,,,Cruzeiro,3
Rafinha,7.0,br BRA,MF,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Cruzeiro,3
Rodriguinho Marinho,23.0,br BRA,AM,61.0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,,,Cruzeiro,3
Thiago Neves,10.0,br BRA,MF,29.0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,Cruzeiro,3
Marquinhos Gabriel,20.0,br BRA,AM,90.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,,,Cruzeiro,3
Lucas Romero,29.0,ar ARG,DM,69.0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,,,Cruzeiro,3
Lucas Silva,16.0,br BRA,MF,21.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,Cruzeiro,3
Henrique Pacheco Lima,8.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,,,Cruzeiro,3
Dodô,18.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,,,Cruzeiro,3
Murilo Cerqueira,4.0,br BRA,CB,84.0,0,0,0,0,0,0,2,1,3,1,0,0,1,3,0,,,Cruzeiro,3
Dedé,26.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,,,Cruzeiro,3
Edílson Mendes,2.0,br BRA,RB,90.0,0,0,0,0,0,0,1,0,3,1,0,0,1,2,0,,,Cruzeiro,3
Fábio,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Cruzeiro,3
Bruno Henrique,27.0,br BRA,FW,90.0,2,0,0,0,8,4,0,0,1,3,0,1,0,0,0,,,Flamengo,3
Everton Ribeiro,7.0,br BRA,AM,89.0,0,1,0,0,1,0,0,0,1,3,0,5,1,2,0,,,Flamengo,3
Juan,4.0,br BRA,DF,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Flamengo,3
Giorgian De Arrascaeta,14.0,uy URU,AM,75.0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,,,Flamengo,3
Diego,10.0,br BRA,MF,15.0,0,0,0,0,1,0,1,0,1,1,0,2,1,0,0,,,Flamengo,3
Gabriel Barbosa,9.0,br BRA,AM,90.0,1,0,0,0,4,1,1,0,0,4,0,2,1,0,0,,,Flamengo,3
Gustavo Cuellar,8.0,co COL,DM,90.0,0,0,0,0,2,0,0,0,1,0,0,0,3,4,0,,,Flamengo,3
Willian Arão,5.0,br BRA,DM,90.0,0,1,0,0,1,0,0,0,1,1,0,5,2,6,0,,,Flamengo,3
Renê,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,,,Flamengo,3
Rodrigo Caio,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Flamengo,3
Léo Duarte,43.0,br BRA,CB,90.0,0,0,0,0,0,0,1,0,5,1,0,0,1,1,0,,,Flamengo,3
Pará,21.0,br BRA,RB,90.0,0,0,0,0,0,0,1,0,3,0,0,4,1,2,0,,,Flamengo,3
César,37.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Flamengo,3
Yeferson Soteldo,10.0,ve VEN,FW,90.0,0,0,0,0,1,1,0,0,0,3,1,2,0,1,0,,,Santos,4
Eduardo Sasha,27.0,br BRA,FW,66.0,1,0,0,0,2,1,0,0,3,2,0,0,0,0,0,,,Santos,4
Derlis González,17.0,py PAR,"FW,MF",23.0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,,,Santos,4
Jean Mota,41.0,br BRA,AM,45.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,,Santos,4
Alison,5.0,br BRA,MF,45.0,0,0,0,0,0,0,1,0,3,0,0,1,1,2,0,,,Santos,4
Felipe Jonatan,36.0,br BRA,DM,90.0,1,0,0,0,3,2,0,0,0,0,0,0,0,2,0,,,Santos,4
Diego Pituca,21.0,br BRA,DM,90.0,0,0,0,0,0,0,1,0,2,3,0,1,2,0,0,,,Santos,4
Jean Lucas,30.0,br BRA,DM,81.0,0,1,0,0,1,0,0,0,1,3,0,4,1,1,0,,,Santos,4
Carlos Sánchez,7.0,uy URU,MF,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Santos,4
Victor Ferraz,4.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,,,Santos,4
Gustavo Henrique,6.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,2,1,0,0,2,3,0,,,Santos,4
Felipe Aguilar,26.0,co COL,CB,90.0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,,,Santos,4
Lucas Veríssimo,28.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,,,Santos,4
Vanderlei,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Santos,4
André,90.0,br BRA,FW,90.0,0,0,0,0,4,2,0,0,1,4,0,1,1,1,0,,,Grêmio,4
Everton Soares,11.0,br BRA,AM,90.0,1,0,0,0,3,2,0,0,1,1,0,5,0,1,0,,,Grêmio,4
Jean Pyerre,21.0,br BRA,AM,59.0,0,0,0,0,4,1,0,0,1,1,0,4,1,1,0,,,Grêmio,4
Luan Vieira,7.0,br BRA,"FW,MF",31.0,0,0,0,0,2,2,0,0,0,2,1,2,0,0,0,,,Grêmio,4
Alisson,23.0,br BRA,AM,51.0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,0,,,Grêmio,4
Diego Tardelli,9.0,br BRA,"FW,MF",39.0,0,0,0,0,4,3,0,0,0,1,0,1,1,1,0,,,Grêmio,4
Matheus Henrique,14.0,br BRA,DM,90.0,0,0,0,0,2,0,1,0,2,2,0,1,1,1,0,,,Grêmio,4
Maicon Souza,8.0,br BRA,DM,90.0,0,1,0,0,2,0,1,0,1,1,0,2,0,1,0,,,Grêmio,4
Bruno Cortez,12.0,br BRA,LB,73.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,,Grêmio,4
Felipe Vizeu,10.0,br BRA,FW,17.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,,,Grêmio,4
Walter Kannemann,4.0,ar ARG,CB,90.0,0,0,0,0,0,0,1,0,3,3,0,1,1,1,0,,,Grêmio,4
Pedro Geromel,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,,,Grêmio,4
Leonardo Gomes,6.0,br BRA,RB,90.0,0,0,0,0,4,1,0,0,1,0,0,4,4,3,0,,,Grêmio,4
Paulo Victor Vidotti,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Grêmio,4
Patrick Fabiano,99.0,tl TLS,FW,72.0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,,,CSA,5
Cassiano,20.0,br BRA,FW,18.0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,,CSA,5
Robinho,11.0,br BRA,AM,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CSA,5
Jordi Almeida,12.0,br BRA,GK,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,CSA,5
Didira,19.0,br BRA,AM,45.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,CSA,5
Madson,7.0,br BRA,MF,45.0,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,,,CSA,5
Matheus Sávio,10.0,br BRA,AM,90.0,0,0,0,0,1,1,0,0,1,0,0,5,2,1,0,,,CSA,5
Bruno Ramires,30.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,CSA,5
Dawhan,8.0,br BRA,DM,90.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,CSA,5
Carlinhos,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,1,3,0,5,1,0,0,,,CSA,5
Luciano Castán,4.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,CSA,5
Gerson,13.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,CSA,5
Apodi,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,,,CSA,5
João Carlos,1.0,br BRA,GK,44.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,CSA,5
Ricardo Bueno,99.0,br BRA,FW,90.0,2,1,0,0,4,3,0,0,3,0,1,1,1,0,0,,,Ceará,5
Chico,30.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,,,Ceará,5
Ricardo Dias Acosta,8.0,br BRA,AM,62.0,0,0,0,0,2,1,0,0,2,1,0,2,1,0,0,,,Ceará,5
Fernando Sobral,11.0,br BRA,MF,28.0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,,,Ceará,5
Leandro Carvalho,82.0,br BRA,AM,68.0,1,0,0,0,2,1,0,0,0,1,0,4,1,0,0,,,Ceará,5
Bergson da Silva,77.0,br BRA,FW,22.0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,,,Ceará,5
Auremir,18.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,,,Ceará,5
Fábio Gonçalves,19.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,2,0,0,1,3,2,0,,,Ceará,5
Thiago Carleto,46.0,br BRA,LB,76.0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,,,Ceará,5
João Lucas Cardoso,6.0,br BRA,DF,14.0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,,,Ceará,5
Luiz Otávio,13.0,br BRA,CB,90.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,,,Ceará,5
Tiago Alves,36.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,,,Ceará,5
Samuel Xavier,22.0,br BRA,RB,90.0,0,1,0,0,1,0,0,0,0,1,1,5,0,0,0,,,Ceará,5
Diogo Silva,12.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Ceará,5
Marrony,38.0,br BRA,FW,90.0,0,1,0,0,6,2,0,0,2,5,0,0,0,2,0,,,Vasco da Gama,6
Maxi López,11.0,ar ARG,FW,57.0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,,,Vasco da Gama,6
Ribamar,9.0,br BRA,FW,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Vasco da Gama,6
Danilo Barcelos,14.0,br BRA,LM,90.0,0,0,0,0,1,0,0,0,3,1,0,6,0,3,0,,,Vasco da Gama,6
Lucas Mineiro,18.0,br BRA,CM,90.0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,,,Vasco da Gama,6
Raul,31.0,br BRA,CM,90.0,0,0,0,0,1,1,1,0,3,2,0,0,2,0,0,,,Vasco da Gama,6
Yago Pikachu,22.0,br BRA,CM,57.0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,,,Vasco da Gama,6
Yan Sasse,20.0,br BRA,MF,33.0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,,,Vasco da Gama,6
Raúl Cáceres,2.0,py PAR,RM,90.0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,,,Vasco da Gama,6
Ricardo,36.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,1,1,0,0,5,0,0,,,Vasco da Gama,6
Werley,34.0,br BRA,CB,90.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,Vasco da Gama,6
Miranda,35.0,br BRA,CB,67.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,Vasco da Gama,6
Bruno César,10.0,br BRA,"FW,MF",23.0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,,,Vasco da Gama,6
Alexander,55.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Vasco da Gama,6
Marco Ruben,9.0,ar ARG,FW,68.0,1,1,0,0,4,3,0,0,1,0,0,0,1,0,0,,,Atl Paranaense,6
Marcelo Cirino,10.0,br BRA,"FW,MF",22.0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,,,Atl Paranaense,6
Rony,7.0,br BRA,AM,90.0,0,1,0,0,3,0,0,0,1,4,1,2,0,1,0,,,Atl Paranaense,6
Tomás Andrade,8.0,ar ARG,AM,90.0,0,0,0,0,2,1,0,0,1,1,0,2,0,0,0,,,Atl Paranaense,6
Nikão,11.0,br BRA,AM,90.0,1,0,0,0,5,2,0,0,1,2,0,3,1,3,0,,,Atl Paranaense,6
Guilherme Camacho,15.0,br BRA,DM,33.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,Atl Paranaense,6
Wellington Martins,5.0,br BRA,MF,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,Atl Paranaense,6
Bruno Guimarães,39.0,br BRA,DM,76.0,1,0,0,0,1,1,0,0,3,4,0,4,1,1,0,,,Atl Paranaense,6
Márcio Azevedo,6.0,br BRA,DF,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Atl Paranaense,6
Renan Lodi,12.0,br BRA,LB,90.0,0,0,0,0,2,2,0,0,2,3,0,2,0,1,0,,,Atl Paranaense,6
Léo Pereira,4.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,,,Atl Paranaense,6
Thiago Heleno,44.0,br BRA,CB,90.0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,,,Atl Paranaense,6
Jonathan Moreira,2.0,br BRA,RB,90.0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,,,Atl Paranaense,6
Santos,1.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Atl Paranaense,6
Mauro Boselli,17.0,ar ARG,FW,90.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,,Corinthians,7
Clayson,25.0,br BRA,LW,90.0,1,0,0,0,3,2,0,0,2,1,0,1,0,1,0,,,Corinthians,7
Junior Sornoza,7.0,ec ECU,AM,84.0,0,0,0,0,0,0,0,0,0,2,0,5,1,1,0,,,Corinthians,7
Jádson,10.0,br BRA,MF,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Corinthians,7
Ramiro Benetti,28.0,br BRA,AM,76.0,0,1,0,0,2,0,0,0,0,2,0,0,3,2,0,,,Corinthians,7
Mateus Vital,22.0,br BRA,MF,14.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Corinthians,7
Pedrinho,38.0,br BRA,RW,66.0,1,0,0,0,1,1,0,0,1,2,0,1,0,2,0,,,Corinthians,7
Vágner Love,9.0,br BRA,FW,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Corinthians,7
Ralf,15.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,,,Corinthians,7
Carlos,6.0,br BRA,LB,90.0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,,,Corinthians,7
Pedro Henrique,34.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,0,2,0,0,2,2,0,,,Corinthians,7
Manoel,4.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,Corinthians,7
Fagner,23.0,br BRA,RB,90.0,0,0,0,0,0,0,1,0,0,3,0,1,3,1,0,,,Corinthians,7
Cássio,12.0,br BRA,GK,90.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,Corinthians,7
Fernandão,20.0,br BRA,FW,24.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,Bahia,7
Gilberto,9.0,br BRA,FW,66.0,0,1,0,0,2,1,0,0,3,1,0,0,1,0,0,,,Bahia,7
Artur,98.0,br BRA,AM,90.0,1,0,0,0,1,1,0,0,1,0,1,6,4,1,0,,,Bahia,7
Arthur,77.0,br BRA,AM,70.0,1,0,0,0,2,1,0,0,3,0,0,1,0,0,0,,,Bahia,7
Rogério,90.0,br BRA,"FW,MF",20.0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,,,Bahia,7
