player,age,minutes,shots_on_target,goals_againts,saves,save%,psxg,cmp,att,cmp%,att,thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,team,match_id,match_url
Hernán Galíndez,35-235,90,0,0,0,,0.0,5,12,41.7,12,1,41.7,40.0,7,100.0,62.7,4,1,25.0,1,15.0,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Saad Al Sheeb,32-274,90,3,2,1,66.7,1.5,2,3,66.7,16,4,18.8,25.6,4,0.0,25.8,11,0,0.0,1,14.7,Qatar,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
