player,nation,minutes,shots_on_target,goals_againts,saves,save%,team,match_id
Victor Leandro Bagy,br BRA,72.0,3,3,1,0.33299999999999996,Atlético Mineiro,79
João Paulo,br BRA,90.0,4,1,3,0.75,Santos,79
Gabriel Batista,br BRA,90.0,3,1,2,0.667,Flamengo,80
Muriel Becker,br BRA,90.0,6,2,4,0.667,Fluminense,80
Wéverton,br BRA,90.0,4,0,4,1.0,Palmeiras,81
Cássio,br BRA,90.0,7,2,6,0.857,Corinthians,81
Vanderlei,br BRA,90.0,6,0,6,1.0,Grêmio,82
Mateus Claus,br BRA,90.0,6,2,4,0.667,Bahia,82
Fernando Prass,br BRA,90.0,9,2,7,0.778,Ceará,83
Marcelo Lomba,br BRA,90.0,0,0,0,,Internacional,83
Jean,br BRA,90.0,5,1,4,0.8,Atl Goianiense,84
Fernando Miguel,br BRA,90.0,7,2,5,0.7140000000000001,Vasco da Gama,84
Wilson,br BRA,90.0,2,1,1,0.5,Coritiba,85
Santos,br BRA,90.0,1,0,1,1.0,Atl Paranaense,85
Tiago Volpi,br BRA,90.0,6,2,4,0.667,São Paulo,86
João Paulo,br BRA,90.0,6,2,4,0.667,Santos,86
Felipe Alves Raymundo,br BRA,90.0,0,1,1,,Fortaleza,87
Vanderlei,br BRA,90.0,2,1,1,0.5,Grêmio,87
Cássio,br BRA,90.0,2,2,1,0.5,Corinthians,88
Walter,br BRA,,0,0,0,,Corinthians,88
Muriel Becker,br BRA,90.0,3,1,2,0.667,Fluminense,88
Marcelo Lomba,br BRA,90.0,1,1,0,0.0,Internacional,89
Marcelo Rangel,br BRA,,0,0,0,,Goiás,89
Tadeu,br BRA,90.0,4,0,4,1.0,Goiás,89
César,br BRA,90.0,3,2,1,0.33299999999999996,Flamengo,90
Fernando Prass,br BRA,90.0,2,0,2,1.0,Ceará,90
Jean,br BRA,90.0,1,0,1,1.0,Atl Goianiense,91
Douglas Friedrich,br BRA,90.0,3,1,2,0.667,Bahia,91
Júlio César,br BRA,90.0,5,2,4,0.6,Bragantino,92
Éverson,br BRA,90.0,4,1,3,0.75,Atlético Mineiro,92
Luan Polli,br BRA,90.0,7,2,5,0.7140000000000001,Sport Recife,93
Wéverton,br BRA,90.0,3,2,2,0.667,Palmeiras,93
Fernando Miguel,br BRA,90.0,9,2,7,0.778,Vasco da Gama,94
Diego Cavalieri,br BRA,90.0,6,3,3,0.5,Botafogo (RJ),94
Douglas Friedrich,br BRA,90.0,5,3,2,0.4,Bahia,95
Cássio,br BRA,90.0,5,2,3,0.6,Corinthians,95
Fernando Prass,br BRA,90.0,9,4,5,0.556,Ceará,96
Júlio César,br BRA,90.0,6,2,4,0.667,Bragantino,96
Marcelo Lomba,br BRA,90.0,3,1,2,0.667,Internacional,97
Felipe Alves Raymundo,br BRA,90.0,1,0,1,1.0,Fortaleza,97
Éverson,br BRA,90.0,9,3,6,0.667,Atlético Mineiro,98
Jean,br BRA,90.0,7,4,4,0.5710000000000001,Atl Goianiense,98
Wéverton,br BRA,90.0,2,1,1,0.5,Palmeiras,99
Vanderlei,br BRA,90.0,2,1,1,0.5,Grêmio,99
