player,nation,minutes,shots_on_target,goals_againts,saves,save%,team,match_id
Paulo Victor Vidotti,br BRA,90.0,2,2,0,0.0,Grêmio,49
Richard,br BRA,45.0,3,1,2,0.667,Ceará,49
Diogo Silva,br BRA,45.0,1,0,1,1.0,Ceará,49
Wéverton,br BRA,90.0,2,0,2,1.0,Palmeiras,50
Gatito Fernández,py PAR,90.0,1,1,1,1.0,Botafogo (RJ),50
Victor Leandro Bagy,br BRA,90.0,8,1,7,0.875,Atlético Mineiro,51
Paulo Victor Vidotti,br BRA,90.0,5,0,5,1.0,Grêmio,51
Marcelo Lomba,br BRA,90.0,4,0,4,1.0,Internacional,52
Vanderlei,br BRA,90.0,2,1,1,0.5,Santos,52
Santos,br BRA,90.0,3,3,1,0.33299999999999996,Atl Paranaense,53
Diego Alves,br BRA,90.0,4,2,3,0.75,Flamengo,53
Tiago Volpi,br BRA,90.0,5,1,4,0.8,São Paulo,54
Cássio,br BRA,90.0,1,0,1,1.0,Corinthians,54
Sidão,br BRA,90.0,2,1,1,0.5,Vasco da Gama,55
Felipe Alves Raymundo,br BRA,90.0,1,1,1,1.0,Fortaleza,55
Tiepo,br BRA,90.0,2,1,1,0.5,Chapecoense,56
Fábio,br BRA,90.0,5,2,3,0.6,Cruzeiro,56
Agenor Detofol,br BRA,65.0,2,2,1,0.0,Fluminense,57
Rodolfo de Melo,br BRA,21.0,0,1,0,,Fluminense,57
Douglas Friedrich,br BRA,90.0,3,2,2,0.667,Bahia,57
Diogo Silva,br BRA,90.0,3,1,2,0.667,Ceará,58
Vladimir,br BRA,90.0,4,2,2,0.5,Avaí,58
Tadeu,br BRA,90.0,4,1,3,0.75,Goiás,59
Jordi Almeida,br BRA,90.0,5,0,5,1.0,CSA,59
Marcelo Boeck,br BRA,90.0,7,2,5,0.7140000000000001,Fortaleza,60
Diego Alves,br BRA,90.0,4,0,4,1.0,Flamengo,60
Paulo Victor Vidotti,br BRA,90.0,3,1,3,1.0,Grêmio,61
Douglas Friedrich,br BRA,90.0,1,0,1,1.0,Bahia,61
Sidão,br BRA,90.0,1,1,0,0.0,Vasco da Gama,62
Gatito Fernández,py PAR,90.0,2,0,2,1.0,Botafogo (RJ),62
Rodolfo de Melo,br BRA,90.0,5,3,2,0.4,Fluminense,63
Santos,br BRA,90.0,2,0,2,1.0,Atl Paranaense,63
Éverson,br BRA,90.0,3,0,3,1.0,Santos,64
Diogo Silva,br BRA,90.0,3,1,2,0.667,Ceará,64
Fábio,br BRA,90.0,4,1,3,0.75,Cruzeiro,65
Tiago Volpi,br BRA,90.0,4,1,3,0.75,São Paulo,65
Jordi Almeida,br BRA,90.0,6,4,3,0.5,CSA,66
Victor Leandro Bagy,br BRA,90.0,0,0,0,,Atlético Mineiro,66
Wéverton,br BRA,90.0,3,1,3,1.0,Palmeiras,67
Tiepo,br BRA,90.0,6,2,4,0.667,Chapecoense,67
Vladimir,br BRA,90.0,7,2,5,0.7140000000000001,Avaí,68
Marcelo Lomba,br BRA,90.0,1,0,1,1.0,Internacional,68
Marcelo Lomba,br BRA,90.0,3,2,1,0.33299999999999996,Internacional,69
Fernando Miguel,br BRA,90.0,4,1,3,0.75,Vasco da Gama,69
Santos,br BRA,90.0,2,1,2,1.0,Atl Paranaense,70
Wéverton,br BRA,90.0,3,0,3,1.0,Palmeiras,70
Walter,br BRA,90.0,7,0,7,1.0,Corinthians,71
Fábio,br BRA,90.0,1,0,1,1.0,Cruzeiro,71
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,72
Marcelo Boeck,br BRA,,0,0,0,,Fortaleza,72
Paulo Victor Vidotti,br BRA,90.0,2,0,2,1.0,Grêmio,72
Douglas Friedrich,br BRA,90.0,5,0,5,1.0,Bahia,73
Diogo Silva,br BRA,90.0,1,0,1,1.0,Ceará,73
Tiago Volpi,br BRA,90.0,1,0,1,1.0,São Paulo,74
Vladimir,br BRA,90.0,3,0,3,1.0,Avaí,74
Victor Leandro Bagy,br BRA,90.0,4,3,2,0.5,Atlético Mineiro,75
Éverson,br BRA,90.0,4,1,3,0.75,Santos,75
Diego Cavalieri,br BRA,90.0,5,1,4,0.8,Botafogo (RJ),76
Jordi Almeida,br BRA,90.0,7,2,5,0.7140000000000001,CSA,76
Diego Alves,br BRA,90.0,6,0,6,1.0,Flamengo,77
Agenor Detofol,br BRA,90.0,2,0,2,1.0,Fluminense,77
Tiepo,br BRA,90.0,4,3,3,0.75,Chapecoense,78
Tadeu,br BRA,90.0,2,1,1,0.5,Goiás,78
Paulo Victor Vidotti,br BRA,90.0,3,0,3,1.0,Grêmio,79
Diego Cavalieri,br BRA,90.0,5,1,4,0.8,Botafogo (RJ),79
Fábio,br BRA,90.0,4,2,2,0.5,Cruzeiro,80
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,80
Douglas Friedrich,br BRA,90.0,7,3,4,0.5710000000000001,Bahia,81
Marcelo Lomba,br BRA,90.0,2,1,1,0.5,Internacional,81
Walter,br BRA,90.0,4,1,3,0.75,Corinthians,82
Éverson,br BRA,90.0,0,0,0,,Santos,82
César,br BRA,90.0,2,0,2,1.0,Flamengo,83
Jordi Almeida,br BRA,90.0,10,2,8,0.8,CSA,83
Diogo Silva,br BRA,90.0,11,1,10,0.909,Ceará,84
Fernando Miguel,br BRA,90.0,1,0,1,1.0,Vasco da Gama,84
Santos,br BRA,90.0,5,2,3,0.6,Atl Paranaense,85
Tadeu,br BRA,90.0,7,1,6,0.857,Goiás,85
Agenor Detofol,br BRA,90.0,4,1,3,0.75,Fluminense,86
Tiepo,br BRA,90.0,2,1,2,1.0,Chapecoense,86
Tiago Volpi,br BRA,90.0,8,1,7,0.875,São Paulo,87
Jean,br BRA,,0,0,0,,São Paulo,87
Victor Leandro Bagy,br BRA,90.0,3,1,2,0.667,Atlético Mineiro,87
Vladimir,br BRA,90.0,6,2,4,0.667,Avaí,88
Wéverton,br BRA,90.0,2,0,2,1.0,Palmeiras,88
Vladimir,br BRA,90.0,5,2,3,0.6,Avaí,89
Felipe Alves Raymundo,br BRA,90.0,5,0,5,1.0,Fortaleza,89
Fernando Miguel,br BRA,90.0,6,2,4,0.667,Vasco da Gama,90
Paulo Victor Vidotti,br BRA,90.0,4,1,4,1.0,Grêmio,90
Wéverton,br BRA,90.0,10,1,9,0.9,Palmeiras,91
Tiago Volpi,br BRA,90.0,5,1,4,0.8,São Paulo,91
Éverson,br BRA,90.0,2,0,2,1.0,Santos,92
Douglas Friedrich,br BRA,90.0,5,1,5,0.8,Bahia,92
Tadeu,br BRA,90.0,16,6,10,0.625,Goiás,93
Diego Alves,br BRA,90.0,2,1,1,0.5,Flamengo,93
Jordi Almeida,br BRA,90.0,7,1,6,0.857,CSA,94
Cássio,br BRA,90.0,1,0,1,1.0,Corinthians,94
Marcelo Lomba,br BRA,90.0,6,1,5,0.833,Internacional,95
Santos,br BRA,90.0,4,0,4,1.0,Atl Paranaense,95
Gatito Fernández,py PAR,90.0,1,0,1,1.0,Botafogo (RJ),96
Fábio,br BRA,90.0,1,0,1,1.0,Cruzeiro,96
Cleiton Schwengber,br BRA,90.0,3,1,2,0.667,Atlético Mineiro,97
Tiepo,br BRA,90.0,5,2,4,0.6,Chapecoense,97
Diogo Silva,br BRA,90.0,7,1,6,0.857,Ceará,98
Agenor Detofol,br BRA,90.0,5,1,4,0.8,Fluminense,98
Agenor Detofol,br BRA,90.0,5,2,3,0.6,Fluminense,99
Sidão,br BRA,90.0,2,1,1,0.5,Vasco da Gama,99
Rafael Pires,br BRA,90.0,1,0,1,1.0,Cruzeiro,100
Douglas Friedrich,br BRA,90.0,4,0,4,1.0,Bahia,100
Júlio César,br BRA,90.0,5,1,4,0.8,Grêmio,101
Danilo Fernandes,br BRA,90.0,3,1,2,0.667,Internacional,101
Caio,br BRA,90.0,1,0,1,1.0,Atl Paranaense,102
Jordi Almeida,br BRA,90.0,9,4,5,0.556,CSA,102
Wéverton,br BRA,90.0,4,2,2,0.5,Palmeiras,103
Diogo Silva,br BRA,90.0,6,0,6,1.0,Ceará,103
Éverson,br BRA,90.0,1,0,1,1.0,Santos,104
Gatito Fernández,py PAR,90.0,4,1,3,0.75,Botafogo (RJ),104
Felipe Alves Raymundo,br BRA,90.0,3,2,4,0.667,Fortaleza,105
Cleiton Schwengber,br BRA,90.0,3,2,2,0.667,Atlético Mineiro,105
Diego Alves,br BRA,90.0,1,1,1,1.0,Flamengo,106
Cássio,br BRA,90.0,3,1,2,0.667,Corinthians,106
Tadeu,br BRA,90.0,3,0,3,1.0,Goiás,107
Vladimir,br BRA,90.0,4,0,4,1.0,Avaí,107
Tiepo,br BRA,90.0,6,4,2,0.33299999999999996,Chapecoense,108
Tiago Volpi,br BRA,90.0,2,0,2,1.0,São Paulo,108
Fernando Miguel,br BRA,90.0,4,1,4,1.0,Vasco da Gama,109
Wéverton,br BRA,90.0,1,1,0,0.0,Palmeiras,109
Tiago Volpi,br BRA,90.0,4,1,3,0.75,São Paulo,110
Muriel Becker,br BRA,90.0,4,2,3,0.75,Fluminense,110
Diogo Silva,br BRA,90.0,5,1,4,0.8,Ceará,111
Marcelo Lomba,br BRA,90.0,2,0,2,1.0,Internacional,111
Santos,br BRA,90.0,1,0,1,1.0,Atl Paranaense,112
Rafael Pires,br BRA,90.0,5,2,4,0.8,Cruzeiro,112
Douglas Friedrich,br BRA,90.0,4,0,4,1.0,Bahia,113
Tiepo,br BRA,90.0,6,0,6,1.0,Chapecoense,113
Lucas Frigeri,br BRA,90.0,11,3,8,0.727,Avaí,114
Éverson,br BRA,90.0,4,1,3,0.75,Santos,114
Gatito Fernández,py PAR,90.0,5,3,2,0.4,Botafogo (RJ),115
Diego Alves,br BRA,90.0,3,2,1,0.33299999999999996,Flamengo,115
Cleiton Schwengber,br BRA,90.0,2,0,2,1.0,Atlético Mineiro,116
Tadeu,br BRA,90.0,0,0,0,,Goiás,116
Cássio,br BRA,90.0,4,1,3,0.75,Corinthians,117
Felipe Alves Raymundo,br BRA,90.0,5,3,2,0.4,Fortaleza,117
Júlio César,br BRA,90.0,2,0,2,1.0,Grêmio,118
Jordi Almeida,br BRA,90.0,0,0,0,,CSA,118
Marcelo Lomba,br BRA,90.0,7,2,5,0.7140000000000001,Internacional,119
Muriel Becker,br BRA,90.0,4,1,3,0.75,Fluminense,119
Felipe Alves Raymundo,br BRA,90.0,4,2,2,0.5,Fortaleza,120
Diogo Silva,br BRA,90.0,3,1,3,1.0,Ceará,120
Tadeu,br BRA,90.0,7,6,1,0.14300000000000002,Goiás,121
Éverson,br BRA,90.0,2,1,1,0.5,Santos,121
Diego Alves,br BRA,90.0,7,3,4,0.5710000000000001,Flamengo,122
Douglas Friedrich,br BRA,90.0,1,0,1,1.0,Bahia,122
Gatito Fernández,py PAR,90.0,3,0,3,1.0,Botafogo (RJ),123
Vladimir,br BRA,90.0,5,2,3,0.6,Avaí,123
Fábio,br BRA,90.0,6,2,4,0.667,Cruzeiro,124
Cleiton Schwengber,br BRA,90.0,4,0,4,1.0,Atlético Mineiro,124
João Carlos,br BRA,90.0,2,0,2,1.0,CSA,125
Fernando Miguel,br BRA,90.0,2,0,2,1.0,Vasco da Gama,125
Wéverton,br BRA,90.0,7,1,6,0.857,Palmeiras,126
Cássio,br BRA,90.0,6,1,5,0.833,Corinthians,126
Tiepo,br BRA,90.0,9,3,6,0.667,Chapecoense,127
Paulo Victor Vidotti,br BRA,90.0,4,3,1,0.25,Grêmio,127
Tadeu,br BRA,90.0,5,2,4,0.8,Goiás,128
Cássio,br BRA,90.0,3,0,3,1.0,Corinthians,128
Tiepo,br BRA,90.0,4,4,1,0.25,Chapecoense,129
Diogo Silva,br BRA,90.0,3,1,2,0.667,Ceará,129
Éverson,br BRA,90.0,6,3,4,0.667,Santos,130
Tiago Volpi,br BRA,90.0,4,2,2,0.5,São Paulo,130
Júlio César,br BRA,90.0,5,3,2,0.4,Grêmio,131
Diego Alves,br BRA,90.0,1,1,1,1.0,Flamengo,131
Muriel Becker,br BRA,90.0,9,2,7,0.778,Fluminense,132
Cleiton Schwengber,br BRA,90.0,6,1,5,0.833,Atlético Mineiro,132
Cássio,br BRA,90.0,1,0,1,1.0,Corinthians,133
Marcelo Lomba,br BRA,90.0,1,0,1,1.0,Internacional,133
Caio,br BRA,90.0,4,2,3,0.75,Atl Paranaense,134
Gatito Fernández,py PAR,90.0,8,1,7,0.875,Botafogo (RJ),134
Douglas Friedrich,br BRA,90.0,10,2,8,0.8,Bahia,135
Wéverton,br BRA,90.0,1,2,1,1.0,Palmeiras,135
Fábio,br BRA,90.0,2,2,1,0.5,Cruzeiro,136
Vladimir,br BRA,90.0,6,2,4,0.667,Avaí,136
Fernando Miguel,br BRA,90.0,5,0,5,1.0,Vasco da Gama,137
Tadeu,br BRA,90.0,5,1,4,0.8,Goiás,137
Felipe Alves Raymundo,br BRA,90.0,5,0,5,1.0,Fortaleza,138
Jordi Almeida,br BRA,90.0,3,2,1,0.33299999999999996,CSA,138
Gatito Fernández,py PAR,90.0,9,2,7,0.778,Botafogo (RJ),139
Walter,br BRA,90.0,3,0,3,1.0,Corinthians,139
Danilo Fernandes,br BRA,90.0,4,0,4,1.0,Internacional,140
Felipe Alves Raymundo,br BRA,90.0,2,1,1,0.5,Fortaleza,140
Cleiton Schwengber,br BRA,90.0,1,1,0,0.0,Atlético Mineiro,141
Santos,br BRA,90.0,0,0,0,,Atl Paranaense,141
Diego Alves,br BRA,90.0,6,1,5,0.833,Flamengo,142
Fernando Miguel,br BRA,90.0,8,4,5,0.625,Vasco da Gama,142
Wéverton,br BRA,90.0,3,1,2,0.667,Palmeiras,143
Júlio César,br BRA,90.0,7,1,6,0.857,Grêmio,143
Diogo Silva,br BRA,90.0,6,1,5,0.833,Ceará,144
Tiago Volpi,br BRA,90.0,4,0,4,1.0,São Paulo,144
Tadeu,br BRA,90.0,3,1,2,0.667,Goiás,145
Douglas Friedrich,br BRA,90.0,4,1,3,0.75,Bahia,145
Éverson,br BRA,90.0,9,2,7,0.778,Santos,146
Fábio,br BRA,90.0,2,0,2,1.0,Cruzeiro,146
Jordi Almeida,br BRA,90.0,12,0,12,1.0,CSA,147
Muriel Becker,br BRA,90.0,3,1,2,0.667,Fluminense,147
Vladimir,br BRA,90.0,1,1,1,1.0,Avaí,148
Tiepo,br BRA,90.0,0,0,0,,Chapecoense,148
Tiago Volpi,br BRA,90.0,0,0,0,,São Paulo,149
Santos,br BRA,90.0,1,1,0,0.0,Atl Paranaense,149
Douglas Friedrich,br BRA,90.0,7,0,7,1.0,Bahia,150
Cleiton Schwengber,br BRA,90.0,5,1,4,0.8,Atlético Mineiro,150
Santos,br BRA,90.0,1,2,0,-1.0,Atl Paranaense,151
Júlio César,br BRA,90.0,1,1,0,0.0,Grêmio,151
Tiago Volpi,br BRA,90.0,7,2,5,0.7140000000000001,São Paulo,152
Fernando Miguel,br BRA,90.0,1,0,1,1.0,Vasco da Gama,152
Marcelo Lomba,br BRA,90.0,4,2,2,0.5,Internacional,153
Tadeu,br BRA,90.0,6,1,5,0.833,Goiás,153
Felipe Alves Raymundo,br BRA,90.0,10,3,7,0.7,Fortaleza,154
Éverson,br BRA,90.0,4,3,2,0.5,Santos,154
Diego Alves,br BRA,90.0,4,0,4,1.0,Flamengo,155
Diogo Silva,br BRA,90.0,5,3,2,0.4,Ceará,155
Fábio,br BRA,90.0,3,1,2,0.667,Cruzeiro,156
Jordi Almeida,br BRA,90.0,5,1,4,0.8,CSA,156
Cássio,br BRA,90.0,2,1,1,0.5,Corinthians,157
Vladimir,br BRA,90.0,4,1,3,0.75,Avaí,157
Tiepo,br BRA,90.0,1,0,1,1.0,Chapecoense,158
Gatito Fernández,py PAR,90.0,5,0,5,1.0,Botafogo (RJ),158
Júlio César,br BRA,90.0,4,0,4,1.0,Grêmio,159
Tiago Volpi,br BRA,90.0,3,0,3,1.0,São Paulo,159
Jordi Almeida,br BRA,90.0,5,1,5,0.8,CSA,160
Douglas Friedrich,br BRA,90.0,2,0,2,1.0,Bahia,160
Diogo Silva,br BRA,90.0,4,1,3,0.75,Ceará,161
Santos,br BRA,90.0,5,0,5,1.0,Atl Paranaense,161
Éverson,br BRA,90.0,5,0,5,1.0,Santos,162
Tiepo,br BRA,90.0,5,1,4,0.8,Chapecoense,162
Gatito Fernández,py PAR,45.0,4,1,3,0.75,Botafogo (RJ),163
Diego Cavalieri,br BRA,45.0,5,2,3,0.6,Botafogo (RJ),163
Marcelo Lomba,br BRA,90.0,7,2,5,0.7140000000000001,Internacional,163
Tadeu,br BRA,90.0,3,2,1,0.33299999999999996,Goiás,164
Felipe Alves Raymundo,br BRA,90.0,1,0,1,1.0,Fortaleza,164
Wéverton,br BRA,90.0,3,3,1,0.33299999999999996,Palmeiras,165
Diego Alves,br BRA,90.0,0,0,0,,Flamengo,165
Fernando Miguel,br BRA,90.0,3,1,2,0.667,Vasco da Gama,166
Fábio,br BRA,90.0,0,0,1,,Cruzeiro,166
Cleiton Schwengber,br BRA,90.0,5,1,4,0.8,Atlético Mineiro,167
Cássio,br BRA,90.0,5,0,5,1.0,Corinthians,167
Vladimir,br BRA,90.0,10,0,10,1.0,Avaí,168
Muriel Becker,br BRA,90.0,1,1,1,1.0,Fluminense,168
Diogo Silva,br BRA,90.0,3,2,1,0.33299999999999996,Ceará,169
Cássio,br BRA,90.0,6,2,4,0.667,Corinthians,169
Douglas Friedrich,br BRA,90.0,4,0,4,1.0,Bahia,170
Fernando Miguel,br BRA,90.0,3,2,1,0.33299999999999996,Vasco da Gama,170
Diego Alves,br BRA,90.0,2,0,2,1.0,Flamengo,171
Vladimir,br BRA,90.0,5,3,2,0.4,Avaí,171
Muriel Becker,br BRA,90.0,8,0,8,1.0,Fluminense,172
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,172
Tiago Volpi,br BRA,90.0,3,1,3,1.0,São Paulo,173
Marcelo Lomba,br BRA,90.0,4,0,4,1.0,Internacional,173
Jailson,br BRA,90.0,2,1,1,0.5,Palmeiras,174
Tadeu,br BRA,58.0,6,0,6,1.0,Goiás,174
Marcos de Paula Dutra,br BRA,32.0,3,2,1,0.33299999999999996,Goiás,174
Paulo Victor Vidotti,br BRA,90.0,7,1,7,1.0,Grêmio,175
Fábio,br BRA,90.0,4,4,0,0.0,Cruzeiro,175
Wilson,br BRA,90.0,5,2,4,0.8,Atlético Mineiro,176
Diego Cavalieri,br BRA,90.0,6,1,5,0.833,Botafogo (RJ),176
Léo,br BRA,90.0,9,1,9,1.0,Atl Paranaense,177
Éverson,br BRA,90.0,4,1,3,0.75,Santos,177
Tiepo,br BRA,90.0,2,2,1,0.0,Chapecoense,178
Jordi Almeida,br BRA,90.0,1,0,2,1.0,CSA,178
Muriel Becker,br BRA,90.0,8,3,5,0.625,Fluminense,179
Fernando Prass,br BRA,90.0,1,0,1,1.0,Palmeiras,179
Éverson,br BRA,90.0,2,1,1,0.5,Santos,180
Diego Alves,br BRA,90.0,0,0,0,,Flamengo,180
Fernando Miguel,br BRA,90.0,8,1,7,0.875,Vasco da Gama,181
Tiepo,br BRA,90.0,8,2,6,0.75,Chapecoense,181
Fábio,br BRA,90.0,3,1,2,0.667,Cruzeiro,182
Wéverton,br BRA,90.0,3,0,3,1.0,Palmeiras,182
Gatito Fernández,py PAR,90.0,6,0,6,1.0,Botafogo (RJ),183
Diogo Silva,br BRA,90.0,0,0,0,,Ceará,183
Danilo Fernandes,br BRA,90.0,11,1,10,0.909,Internacional,184
Cleiton Schwengber,br BRA,90.0,9,3,6,0.667,Atlético Mineiro,184
Vladimir,br BRA,90.0,0,0,0,,Avaí,185
Léo,br BRA,90.0,1,1,0,0.0,Atl Paranaense,185
Felipe Alves Raymundo,br BRA,90.0,2,1,2,1.0,Fortaleza,186
Douglas Friedrich,br BRA,90.0,1,1,0,0.0,Bahia,186
Marcelo Rangel,br BRA,90.0,10,3,7,0.7,Goiás,187
Paulo Victor Vidotti,br BRA,90.0,4,0,4,1.0,Grêmio,187
Cássio,br BRA,90.0,2,1,1,0.5,Corinthians,188
Muriel Becker,br BRA,90.0,3,0,3,1.0,Fluminense,188
Jordi Almeida,br BRA,90.0,6,1,5,0.833,CSA,189
Tiago Volpi,br BRA,90.0,2,1,1,0.5,São Paulo,189
Tiago Volpi,br BRA,90.0,5,1,4,0.8,São Paulo,190
Gatito Fernández,py PAR,90.0,7,2,5,0.7140000000000001,Botafogo (RJ),190
Diego Alves,br BRA,90.0,2,1,2,1.0,Flamengo,191
Fábio,br BRA,90.0,5,2,3,0.6,Cruzeiro,191
Douglas Friedrich,br BRA,90.0,2,2,1,0.5,Bahia,192
