fouls,corners,crosses,touches,tackles,interceptions,aerials_won,clearances,offsides,goal_kicks,throw_ins,long_balls,score,team,match_id,result,stadium,state,UF,matchweek,date,time,assists_sum_defense,penalty_kicks_made_sum_defense,penalty_kicks_attempted_sum_defense,shots_sum_defense,shots_on_target_sum_defense,yellow_cards_sum_defense,red_cards_sum_defense,fouls_commited_sum_defense,fouls_drawn_sum_defense,offsides_sum_defense,crosses_sum_defense,tackles_on_sum_defense,interceptions_sum_defense,own_goals_sum_defense,penalty_kicks_won_sum_defense,penalty_kicks_conceded_sum_defense,assists_mean_defense,penalty_kicks_made_mean_defense,penalty_kicks_attempted_mean_defense,shots_mean_defense,shots_on_target_mean_defense,yellow_cards_mean_defense,red_cards_mean_defense,fouls_commited_mean_defense,fouls_drawn_mean_defense,offsides_mean_defense,crosses_mean_defense,tackles_on_mean_defense,interceptions_mean_defense,own_goals_mean_defense,penalty_kicks_won_mean_defense,penalty_kicks_conceded_mean_defense,assists_sum_mid,penalty_kicks_made_sum_mid,penalty_kicks_attempted_sum_mid,shots_sum_mid,shots_on_target_sum_mid,yellow_cards_sum_mid,red_cards_sum_mid,fouls_commited_sum_mid,fouls_drawn_sum_mid,offsides_sum_mid,crosses_sum_mid,tackles_on_sum_mid,interceptions_sum_mid,own_goals_sum_mid,penalty_kicks_won_sum_mid,penalty_kicks_conceded_sum_mid,assists_mean_mid,penalty_kicks_made_mean_mid,penalty_kicks_attempted_mean_mid,shots_mean_mid,shots_on_target_mean_mid,yellow_cards_mean_mid,red_cards_mean_mid,fouls_commited_mean_mid,fouls_drawn_mean_mid,offsides_mean_mid,crosses_mean_mid,tackles_on_mean_mid,interceptions_mean_mid,own_goals_mean_mid,penalty_kicks_won_mean_mid,penalty_kicks_conceded_mean_mid,assists_sum_attack,penalty_kicks_made_sum_attack,penalty_kicks_attempted_sum_attack,shots_sum_attack,shots_on_target_sum_attack,yellow_cards_sum_attack,red_cards_sum_attack,fouls_commited_sum_attack,fouls_drawn_sum_attack,offsides_sum_attack,crosses_sum_attack,tackles_on_sum_attack,interceptions_sum_attack,own_goals_sum_attack,penalty_kicks_won_sum_attack,penalty_kicks_conceded_sum_attack,assists_mean_attack,penalty_kicks_made_mean_attack,penalty_kicks_attempted_mean_attack,shots_mean_attack,shots_on_target_mean_attack,yellow_cards_mean_attack,red_cards_mean_attack,fouls_commited_mean_attack,fouls_drawn_mean_attack,offsides_mean_attack,crosses_mean_attack,tackles_on_mean_attack,interceptions_mean_attack,own_goals_mean_attack,penalty_kicks_won_mean_attack,penalty_kicks_conceded_mean_attack
24.0,6.0,18.0,680,14.0,16.0,25.0,18.0,2.0,6.0,28.0,50.0,1,Grêmio,5,W,Arena do Grêmio,Porto Alegre,,1,2020-08-09,19:00,0,0,0,1,0,2,0,12,4,0,6,4,8,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,2.4,0.8,0.0,1.2,0.8,1.6,0.0,,,0,0,0,9,2,0,0,9,8,2,11,3,6,0,0.0,0.0,0.0,0.0,0.0,1.125,0.25,0.0,0.0,1.125,1.0,0.25,1.375,0.375,0.75,0.0,,,0,0,0,5,2,0,0,3,3,0,1,2,2,0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,1.5,1.5,0.0,0.5,1.0,1.0,0.0,,
16.0,3.0,15.0,654,15.0,23.0,17.0,24.0,1.0,7.0,16.0,55.0,0,Fluminense,5,L,Arena do Grêmio,Porto Alegre,,1,2020-08-09,19:00,0,0,0,2,0,1,0,5,6,0,5,3,14,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,1.25,1.5,0.0,1.25,0.75,3.5,0.0,,,0,0,0,1,0,1,0,4,4,0,2,3,6,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,1.0,2.0,0.0,,,0,0,0,7,4,1,0,7,13,1,8,5,3,0,0.0,0.0,0.0,0.0,0.0,0.875,0.5,0.125,0.0,0.875,1.625,0.125,1.0,0.625,0.375,0.0,,
19.0,8.0,30.0,716,17.0,16.0,14.0,7.0,3.0,3.0,25.0,52.0,3,Atlético Mineiro,6,W,Estádio Raimundo Sampaio,Belo Horizonte,,2,2020-08-12,19:15,1,0,0,6,2,0,0,4,1,0,7,2,7,0,0.0,0.0,0.2,0.0,0.0,1.2,0.4,0.0,0.0,0.8,0.2,0.0,1.4,0.4,1.4,0.0,,,1,0,0,11,6,0,0,10,9,3,13,4,9,0,0.0,0.0,0.14285714285714285,0.0,0.0,1.5714285714285714,0.8571428571428571,0.0,0.0,1.4285714285714286,1.2857142857142858,0.42857142857142855,1.8571428571428572,0.5714285714285714,1.2857142857142858,0.0,,,0,0,0,9,6,0,0,5,1,0,10,3,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.6666666666666667,0.3333333333333333,0.0,3.3333333333333335,1.0,0.0,0.0,,
11.0,4.0,11.0,617,10.0,17.0,15.0,29.0,1.0,11.0,15.0,69.0,2,Corinthians,6,L,Estádio Raimundo Sampaio,Belo Horizonte,,2,2020-08-12,19:15,0,0,0,1,1,0,0,2,6,1,5,2,11,0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,1.5,0.25,1.25,0.5,2.75,0.0,,,1,0,0,4,2,1,0,7,9,0,5,5,6,0,0.0,0.0,0.125,0.0,0.0,0.5,0.25,0.125,0.0,0.875,1.125,0.0,0.625,0.625,0.75,0.0,,,1,0,0,2,2,0,0,2,3,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.5,0.0,0.5,0.0,0.0,0.0,,
13.0,11.0,29.0,739,15.0,17.0,7.0,11.0,1.0,8.0,18.0,40.0,1,Bragantino,7,D,Estádio Nabi Abi Chedid,Bragança Paulista,,2,2020-08-12,19:15,0,0,0,8,1,1,0,5,4,0,8,6,6,0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.0,1.3333333333333333,1.0,1.0,0.0,,,1,0,0,10,4,2,0,7,3,0,21,5,11,0,0.0,0.0,0.16666666666666666,0.0,0.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,1.1666666666666667,0.5,0.0,3.5,0.8333333333333334,1.8333333333333333,0.0,,,0,0,0,5,3,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,,
8.0,3.0,16.0,623,9.0,8.0,11.0,26.0,1.0,13.0,15.0,49.0,1,Botafogo (RJ),7,D,Estádio Nabi Abi Chedid,Bragança Paulista,,2,2020-08-12,19:15,1,0,0,3,1,0,0,3,4,1,6,6,5,0,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.0,,,0,0,0,3,1,0,0,2,5,0,9,1,4,0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.8333333333333334,0.0,1.5,0.16666666666666666,0.6666666666666666,0.0,,,0,0,0,3,1,1,0,3,4,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,,
16.0,3.0,16.0,906,10.0,2.0,15.0,9.0,1.0,10.0,22.0,78.0,2,Atl Paranaense,8,W,Estádio Joaquim Américo Guimarães,Curitiba,PR,2,2020-08-12,19:15,1,0,0,3,0,3,0,6,4,0,4,5,1,0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.75,0.0,1.5,1.0,0.0,1.0,1.25,0.25,0.0,,,0,0,0,6,1,0,0,3,5,0,8,4,0,0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.6,1.0,0.0,1.6,0.8,0.0,0.0,,,1,0,0,10,3,0,0,7,8,1,4,0,1,0,0.0,0.0,0.2,0.0,0.0,2.0,0.6,0.0,0.0,1.4,1.6,0.2,0.8,0.0,0.2,0.0,,
18.0,3.0,9.0,371,21.0,2.0,17.0,21.0,1.0,14.0,20.0,48.0,1,Goiás,8,L,Estádio Joaquim Américo Guimarães,Curitiba,PR,2,2020-08-12,19:15,0,0,0,5,2,1,0,4,2,0,2,5,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.5,0.25,0.0,1.0,0.5,0.0,0.5,1.25,0.0,0.0,,,0,0,0,6,0,1,0,11,11,0,0,3,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.8333333333333333,1.8333333333333333,0.0,0.0,0.5,0.3333333333333333,0.0,,,0,1,1,2,1,1,0,3,2,1,7,5,0,0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.2,0.0,0.6,0.4,0.2,1.4,1.0,0.0,0.0,,
15.0,11.0,24.0,464,11.0,15.0,13.0,19.0,2.0,7.0,16.0,52.0,3,Atl Goianiense,9,W,Estádio Olímpico Pedro Ludovico Teixeira,Goiânia,GO,2,2020-08-12,20:30,0,0,0,3,2,0,0,9,5,0,14,2,4,0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.8,1.0,0.0,2.8,0.4,0.8,0.0,,,2,0,0,8,3,1,0,5,13,3,10,4,11,0,0.0,0.0,0.25,0.0,0.0,1.0,0.375,0.125,0.0,0.625,1.625,0.375,1.25,0.5,1.375,0.0,,,0,0,0,2,2,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,
19.0,5.0,23.0,738,16.0,11.0,12.0,16.0,1.0,6.0,23.0,32.0,0,Flamengo,9,L,Estádio Olímpico Pedro Ludovico Teixeira,Goiânia,GO,2,2020-08-12,20:30,0,0,0,2,0,1,0,6,2,0,6,5,8,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,1.2,0.4,0.0,1.2,1.0,1.6,0.0,,,0,0,0,3,1,0,0,11,9,0,15,3,4,0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,1.8333333333333333,1.5,0.0,2.5,0.5,0.6666666666666666,0.0,,,0,0,0,3,2,0,0,2,3,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,,
