feature,importance
fouls_drawn_sum_mid_adversary,0.0
offsides_sum_mid_adversary,0.0
crosses_sum_mid_adversary,5.248432353255339e-05
tackles_on_sum_mid_adversary,0.03423965722322464
interceptions_sum_mid_adversary,6.195591413415968e-05
own_goals_sum_mid_adversary,0.0
penalty_kicks_won_sum_mid_adversary,0.0
penalty_kicks_conceded_sum_mid_adversary,0.0
assists_mean_mid_adversary,0.0
penalty_kicks_made_mean_mid_adversary,0.0
penalty_kicks_attempted_mean_mid_adversary,0.0
shots_mean_mid_adversary,2.957043534479453e-07
shots_on_target_mean_mid_adversary,0.0
yellow_cards_mean_mid_adversary,0.0
red_cards_mean_mid_adversary,0.0
fouls_commited_mean_mid_adversary,0.0
fouls_drawn_mean_mid_adversary,0.0
offsides_mean_mid_adversary,0.0
crosses_mean_mid_adversary,0.0007537603960372508
tackles_on_mean_mid_adversary,0.0
interceptions_mean_mid_adversary,0.0
own_goals_mean_mid_adversary,0.0
penalty_kicks_won_mean_mid_adversary,0.0
penalty_kicks_conceded_mean_mid_adversary,0.0
assists_sum_attack_adversary,0.0
penalty_kicks_made_sum_attack_adversary,0.0
penalty_kicks_attempted_sum_attack_adversary,0.0
shots_sum_attack_adversary,9.005886568047572e-06
shots_on_target_sum_attack_adversary,1.5146019904932473e-07
yellow_cards_sum_attack_adversary,8.858213732310105e-06
red_cards_sum_attack_adversary,0.0
fouls_commited_sum_attack_adversary,5.277859145280672e-06
fouls_drawn_sum_attack_adversary,0.0
offsides_sum_attack_adversary,1.0289253395967535e-06
crosses_sum_attack_adversary,0.0
tackles_on_sum_attack_adversary,0.0
interceptions_sum_attack_adversary,1.1679542694764677e-05
own_goals_sum_attack_adversary,0.0
penalty_kicks_won_sum_attack_adversary,0.0
penalty_kicks_conceded_sum_attack_adversary,0.0
assists_mean_attack_adversary,0.0
penalty_kicks_made_mean_attack_adversary,0.0
penalty_kicks_attempted_mean_attack_adversary,0.0
shots_mean_attack_adversary,1.6952171790762804e-06
shots_on_target_mean_attack_adversary,0.00028555013705044985
yellow_cards_mean_attack_adversary,0.029645320028066635
red_cards_mean_attack_adversary,0.0
fouls_commited_mean_attack_adversary,1.2165693078713957e-05
fouls_drawn_mean_attack_adversary,0.05114304646849632
offsides_mean_attack_adversary,2.413637787412881e-07
crosses_mean_attack_adversary,0.0011933724163100123
tackles_on_mean_attack_adversary,0.0
interceptions_mean_attack_adversary,1.1357496987329796e-07
own_goals_mean_attack_adversary,0.0
penalty_kicks_won_mean_attack_adversary,0.0
penalty_kicks_conceded_mean_attack_adversary,0.0
